"","key_pin","pi_ns","property_use","address","class","age","land_sqft","bldg_sqft","net_rentable_sf","investment_rating","adj_rent_sf","pgi","v_c","exp","noi","cap_rate","inc_mv_sf","adj_sale_comp_sf","market_value_sf","excess_land_value","market_value_with_excess_land","sheet_name","file_name"
"2287","06-22-107-042-0000","06-22-107-042-0000","Medical Office","103  SUTTON STREAMWOOD","5-17","2","30273","3375",NA,"C","24","81000","0.15","0.55","30982.5","0.09","102","138",NA,"201276",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2288","06-26-404-013-0000","06-26-404-013-0000","Professional Office","387 E IRVING PARK STREAMWOOD","5-17","24","43560","1120",NA,"C","22","24640","0.15","0.55","9424.8","0.09","93.5","126.5",NA,"468960",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2289","06-36-310-027-0000","06-36-310-027-0000","Professional Office","2020  DEVON HANOVER PARK","5-17","31","14934","746",NA,"C","22","16412","0.15","0.55","6277.59","0.09","93.5","126.5",NA,"71700",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2290","06-34-405-019-0000","06-34-405-019-0000","Professional Office","118 W BARTLETT BARTLETT","5-17","142","9000","2700",NA,"C","18","48600","0.15","0.55","18589.5","0.09","76.5","103.5",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2291","06-19-105-005-0000","06-19-105-005-0000","Professional Office","375  SADLER ELGIN","5-17","89","8712","672",NA,"C","22","14784","0.15","0.55","5654.88","0.09","93.5","126.5",NA,"36144",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2292","06-34-207-019-0000","06-34-207-019-0000 06-34-207-020-0000","Medical Office","112 N OAK BARTLETT","5-17","58","20115","2464",NA,"C","20","49280","0.15","0.55","18849.6","0.09","85","115",NA,"123108",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2293","06-26-203-020-8002","06-26-203-020-8002","Professional Office","900  PARK STREAMWOOD","5-17","63","0","23900",NA,"C","16","382400","0.15","0.55","146268","0.09","68","92",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2294","06-25-300-015-0000","06-25-300-015-0000 06-25-300-016-0000","Medical Office","904 E IRVING PARK STREAMWOOD","5-17","32","26554","6676",NA,"C","18","120168","0.15","0.55","45964.26","0.09","76.5","103.5",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2295","06-27-200-015-0000","06-27-200-015-0000","Medical Office","403 W IRVING PARK STREAMWOOD","5-17","43","87124","11132",NA,"C","16","178112","0.15","0.55","68127.84","0.09","68","92",NA,"511152",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2296","06-01-200-026-0000","06-01-200-026-0000 06-01-200-027-0000","Professional Office","3100  HIGGINS HOFFMAN ESTATES","5-17","30","249506","56757",NA,"C","17.6","998923.2","0.15","0.55","382088.124","0.09","74.8","101.2",NA,"269736",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2297","06-07-302-078-0000","06-07-302-078-0000","Medical Office","860 E SUMMIT ELGIN","5-17","51","132934","41595",NA,"C","12.8","532416","0.15","0.55","203649.12","0.09","54.4","73.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2298","06-07-402-070-0000","06-07-402-070-0000","Professional Office","1210  HUNTER ELGIN","5-17","19","96833","4489",NA,"C","18","80802","0.15","0.55","30906.765","0.09","76.5","103.5",NA,"512700.5",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2299","06-34-403-015-0000","06-34-403-014-0000 06-34-403-015-0000","Medical Office","300 S HICKORY BARTLETT","5-17","54","25646","8034",NA,"C","16.2","130150.8","0.15","0.55","49782.681","0.09","68.85","93.15",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2300","06-28-203-060-0000","06-28-203-060-0000","Medical Office","10  SOUTHWICKE STREAMWOOD","5-17","51","22795","3431",NA,"C","26.4","90578.4","0.15","0.55","34646.238","0.09","112.2","151.8",NA,"81639",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2301","06-15-402-008-0000","06-15-402-008-0000","Professional Office","360  SCHAUMBURG STREAMWOOD","5-17","62","467391","23457",NA,"D","10.24","240199.68","0.15","0.55","91876.3776","0.105","37.3028571428571","58.88",NA,"1161378",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2302","06-17-312-002-0000","06-17-312-002-0000","Medical Office","1350 E Chicago Street","5-17","1","36040","2771",NA,"C","28.8","79804.8","0.15","0.55","30525.336","0.09","122.4","165.6",NA,"149736",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2303","06-34-410-014-0000","06-34-410-014-0000","Retail-Storefront","201 S MAIN BARTLETT","5-17","16","33884","29650",NA,"C","15.84","469656","0.15","0.55","179643.42","0.085","71.28","105.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2304","06-09-200-029-8002","06-09-200-029-8002","Retail-Storefront","1675  NICHOLSON HOFFMAN ESTATES","5-17","12","0","1024",NA,"C","18","18432","0.15","0.55","7050.24","0.085","81","120",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2305","06-25-302-057-0000","06-25-302-057-0000","Retail-Storefront","2260 W IRVING PARK HANOVER PARK","5-17","43","17483","3155",NA,"C","12.96","40888.8","0.15","0.55","15639.966","0.085","58.32","86.4",NA,"58356",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2306","06-25-408-001-0000","06-25-408-001-0000","Retail-Storefront","1601  TANGLEWOOD HANOVER PARK","5-17","52","9800","5811",NA,"C","16.2","94138.2","0.15","0.55","36007.8615","0.085","72.9","108",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2307","06-27-201-014-0000","06-27-201-013-0000 06-27-201-014-0000 06-27-203-021-0000 06-27-203-022-0000","Retail-Storefront","85 W IRVING PARK STREAMWOOD","5-17","40","68679","6134",NA,"C","16.2","99370.8","0.15","0.55","38009.331","0.085","72.9","108",NA,"529716",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2308","06-23-106-137-0000","06-23-106-137-0000","Strip Center","521  BARTLETT STREAMWOOD","5-17","40","44587","9130",NA,"C","10.368","94659.84","0.15","0.55","36207.3888","0.085","46.656","69.12",NA,"40335",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2309","06-14-302-008-0000","06-14-302-008-0000","Strip Center","12 N BARTLETT STREAMWOOD","5-17","34","20104","4740",NA,"C","12.96","61430.4","0.15","0.55","23497.128","0.085","58.32","86.4",NA,"13728",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2310","06-25-301-034-0000","06-25-301-034-0000","Strip Center","2017 W IRVING PARK HANOVER PARK","5-17","40","13500","5626",NA,"C","12.96","72912.96","0.15","0.55","27889.2072","0.085","58.32","86.4",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2311","06-24-406-003-0000","06-24-406-003-0000","Strip Center","694  BARRINGTON STREAMWOOD","5-17","34","84071","19200",NA,"C","14.4","276480","0.15","0.55","105753.6","0.085","64.8","96",NA,"87252",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2312","06-24-408-003-0000","06-24-408-003-0000","Strip Center","716 S BARRINGTON STREAMWOOD","5-17","46","41357","15000",NA,"C","14.4","216000","0.15","0.55","82620","0.085","64.8","96",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2313","06-26-302-015-0000","06-26-302-015-0000 06-26-302-016-0000","Strip Center","5030  VALLEY STREAMWOOD","5-17","45","55367","13770",NA,"C","14.4","198288","0.15","0.55","75845.16","0.085","64.8","96",NA,"2583",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2314","06-23-309-007-0000","06-23-309-006-0000 06-23-309-007-0000","Strip Center","12 W STREAMWOOD STREAMWOOD","5-17","52","72376","12600",NA,"C","14.4","181440","0.15","0.55","69400.8","0.085","64.8","96",NA,"197784",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2315","06-07-302-076-0000","06-07-302-076-0000","Strip Center","844 E SUMMIT ELGIN","5-17","35","122673","49608",NA,"C","6.912","342890.496","0.15","0.55","131155.61472","0.085","31.104","46.08",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2316","06-25-403-021-0000","06-25-403-021-0000","Strip Center","1639 W IRVING PARK HANOVER PARK","5-17","47","18300","3441",NA,"C","14.4","49550.4","0.15","0.55","18953.028","0.085","64.8","96",NA,"54432",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2317","06-22-107-043-0000","06-22-107-043-0000","Strip Center","75  SUTTON STREAMWOOD","5-17","22","101722","20770",NA,"C","15.84","328996.8","0.15","0.55","125841.276","0.085","71.28","105.6",NA,"223704",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2318","06-07-302-031-0000","06-07-302-031-0000 06-07-309-019-0000 06-07-309-026-0000","Strip Center","502  WAVERLY ELGIN","5-17","21","68969","12900",NA,"C","15.84","204336","0.15","0.55","78158.52","0.085","71.28","105.6",NA,"208428",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2319","06-26-117-012-0000","06-26-117-012-0000","Strip Center","21 E IRVING PARK STREAMWOOD","5-17","20","95265","27780",NA,"C","15.84","440035.2","0.15","0.55","168313.464","0.085","71.28","105.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2320","06-25-301-036-0000","06-25-301-036-0000","Strip Center","2091 W IRVING PARK HANOVER PARK","5-17","41","29000","9065",NA,"C","16.2","146853","0.15","0.55","56171.2725","0.085","72.9","108",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2321","06-23-310-005-0000","06-23-310-005-0000","Strip Center","3 W STREAMWOOD STREAMWOOD","5-17","47","25249","7770",NA,"C","16.2","125874","0.15","0.55","48146.805","0.085","72.9","108",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2322","06-13-401-038-0000","06-13-401-038-0000","Strip Center","180 N BARRINGTON STREAMWOOD","5-17","32","33710","7359",NA,"C","16.2","119215.8","0.15","0.55","45600.0435","0.085","72.9","108",NA,"51288",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2323","06-25-301-033-0000","06-25-301-033-0000","Strip Center","2011 W IRVING PARK HANOVER PARK","5-17","40","17415","5626",NA,"C","16.2","91141.2","0.15","0.55","34861.509","0.085","72.9","108",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2324","06-25-301-029-0000","06-25-301-029-0000","Strip Center","2000 W IRVING PARK HANOVER PARK","5-17","42","30800","8704",NA,"C","16.2","141004.8","0.15","0.55","53934.336","0.085","72.9","108",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2325","06-18-301-012-0000","06-18-301-012-0000","Strip Center","745 E CHICAGO ELGIN","5-17","19","179122","7920",NA,"C","16.2","128304","0.15","0.55","49076.28","0.085","72.9","108",NA,"884652",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2326","06-25-400-013-0000","06-25-400-013-0000","Strip Center","1101  EAST STREAMWOOD","5-17","15","95915","12600",NA,"C","17.28","217728","0.15","0.55","83280.96","0.085","77.76","115.2",NA,"409635",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2327","06-23-106-140-0000","06-23-106-140-0000 06-23-106-141-0000","Strip Center","423 S BARTLETT STREAMWOOD","5-17","59","117818","30000",NA,"C","17.28","518400","0.15","0.55","198288","0.085","77.76","115.2",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2328","06-28-201-182-0000","06-28-201-182-0000 06-28-201-183-0000","Strip Center","1199  SUTTON STREAMWOOD","5-17","12","126079","18288",NA,"C","17.28","316016.64","0.15","0.55","120876.3648","0.085","77.76","115.2",NA,"476343",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2329","06-17-312-001-0000","06-17-312-001-0000","Strip Center","1400 E CHICAGO ELGIN","5-17","11","168944","33016",NA,"C","17.28","570516.48","0.15","0.55","218222.5536","0.085","77.76","115.2",NA,"221280",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2330","06-36-308-011-0000","06-36-308-011-0000 06-36-308-012-0000 06-36-308-013-0000 06-36-308-014-0000 06-36-308-015-0000","Strip Center","2160 W LAKE HANOVER PARK","5-17","24","41582","9892",NA,"C","17.82","176275.44","0.15","0.55","67425.3558","0.085","80.19","118.8",NA,"24168",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2331","06-34-414-068-0000","06-34-414-068-0000","Strip Center","314 S MAIN BARTLETT","5-17","46","18238","3545",NA,"C","18","63810","0.15","0.55","24407.325","0.085","81","120",NA,"48696",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2332","06-25-301-031-0000","06-25-301-031-0000","Strip Center","2105 W IRVING PARK HANOVER PARK","5-17","40","14444","3366",NA,"C","18","60588","0.15","0.55","23174.91","0.085","81","120",NA,"11760",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2333","06-23-310-008-0000","06-23-310-008-0000","Strip Center","568 S BARTLETT STREAMWOOD","5-17","40","14266","4000",NA,"C","18","72000","0.15","0.55","27540","0.085","81","120",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2334","06-19-106-019-0000","06-19-106-019-0000","Strip Center","920  VILLA ELGIN","5-17","68","48264","2876",NA,"C","18","51768","0.15","0.55","19801.26","0.085","81","120",NA,"220560",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2335","06-36-311-035-0000","06-36-311-035-0000","Strip Center","2360  WALNUT HANOVER PARK","5-17","48","24584","8678",NA,"C","19.44","168700.32","0.15","0.55","64527.8724","0.085","87.48","129.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2336","06-36-411-007-0000","06-36-411-007-0000","Strip Center","1780 W LAKE HANOVER PARK","5-17","13","34717","4236",NA,"C","19.44","82347.84","0.15","0.55","31498.0488","0.085","87.48","129.6",NA,"159957",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2337","06-21-409-014-0000","06-21-409-014-0000","Strip Center","640  SUTTON STREAMWOOD","5-17","13","62288","10450",NA,"C","20.736","216691.2","0.15","0.55","82884.384","0.085","93.312","138.24",NA,"122928",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2338","06-34-414-066-0000","06-34-414-066-0000 06-34-414-069-0000 06-34-414-071-0000","Strip Center","314 S MAIN BARTLETT","5-17","34","30285","4680",NA,"C","21.384","100077.12","0.15","0.55","38279.4984","0.085","96.228","142.56",NA,"138780",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2339","06-25-403-017-0000","06-25-403-016-0000 06-25-403-017-0000","Strip Center","7300  BARRINGTON HANOVER PARK","5-17","52","33167","6269",NA,"C","21.384","134056.296","0.15","0.55","51276.53322","0.085","96.228","142.56",NA,"97092",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2340","06-36-411-008-0000","06-36-411-008-0000 06-36-411-009-0000","Strip Center","1738 W LAKE HANOVER PARK","5-17","13","60407","6000",NA,"C","23.328","139968","0.15","0.55","53537.76","0.085","104.976","155.52",NA,"327663",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2341","06-22-302-021-0000","06-22-302-021-0000","Strip Center","647  SUTTON STREAMWOOD","5-17","14","57163","7112",NA,"C","23.328","165908.736","0.15","0.55","63460.09152","0.085","104.976","155.52",NA,"344580",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2342","06-25-207-005-0000","06-25-207-005-0000 06-25-207-006-0000","Retail-Freestanding","900 S BARRINGTON STREAMWOOD","5-17","30","1011806","293632",NA,"C","20.736","6088753.152","0.15","0.55","2328948.08064","0.085","93.312","138.24",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2343","06-34-407-021-0000","06-34-407-021-0000 06-34-407-032-0000","Retail-Freestanding","301  RAILROAD BARTLETT","5-17","31","19049","6353",NA,"C","16.2","102918.6","0.15","0.55","39366.3645","0.085","72.9","108",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2344","06-19-404-011-0000","06-19-404-011-0000","Retail-Freestanding","1157  BLUFF CITY ELGIN","5-17","96","15145","2478",NA,"C","16.2","40143.6","0.15","0.55","15354.927","0.085","72.9","108",NA,"31398",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2345","06-19-401-002-0000","06-19-401-001-0000 06-19-401-002-0000","Retail-Freestanding","1061  VILLA ELGIN","5-17","47","11388","1275",NA,"C","18","22950","0.15","0.55","8778.375","0.085","81","120",NA,"37728",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2346","06-07-302-075-0000","06-07-302-075-0000","Retail-Freestanding","795  SUMMIT ELGIN","5-17","25","83382","23018",NA,"C","15.84","364605.12","0.15","0.55","139461.4584","0.085","71.28","105.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2347","06-18-300-093-0000","06-18-300-093-0000","Retail-Freestanding","950 E CHICAGO ELGIN","5-17","22","8697","3365",NA,"C","19.8","66627","0.15","0.55","25484.8275","0.085","89.1","132",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2348","06-25-403-018-0000","06-25-403-018-0000 06-25-403-019-0000  06-25-403-020-0000","Retail-Freestanding","7350  BARRINGTON HANOVER PARK","5-17","24","88831","19768",NA,"C","22.176","438375.168","0.15","0.55","167678.50176","0.085","99.792","147.84",NA,"117108",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2349","06-34-405-018-0000","06-34-405-018-0000","Retail-Freestanding","120 W BARTLETT BARTLETT","5-17","108","9000","3307",NA,"C","12.96","42858.72","0.15","0.55","16393.4604","0.085","58.32","86.4",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2350","06-19-108-001-0000","06-19-108-001-0000 06-19-108-002-0000 06-19-108-003-0000","Retail-Freestanding","755  VILLA ELGIN","5-17","54","23230","9557",NA,"C","16.2","154823.4","0.15","0.55","59219.9505","0.085","72.9","108",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2351","06-07-302-079-0000","06-07-302-079-0000","Retail-Freestanding","854 E SUMMIT ELGIN","5-17","12","31408","7840",NA,"C","27.216","213373.44","0.15","0.55","81615.3408","0.085","122.472","181.44",NA,"432",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2352","06-21-409-006-0000","06-21-409-006-0000","Retail-Freestanding","680  SUTTON STREAMWOOD","5-17","14","69372","13217",NA,"C","17.28","228389.76","0.15","0.55","87359.0832","0.085","77.76","115.2",NA,"99024",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2353","06-25-309-006-0000","06-25-309-006-0000","Retail-Freestanding","901 E IRVING PARK STREAMWOOD","5-17","7","37314","6200",NA,"C","19.44","120528","0.15","0.55","46101.96","0.085","87.48","129.6",NA,"112626",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2354","06-36-222-012-0000","06-36-222-012-0000","Retail-Freestanding","1610  WALNUT HANOVER PARK","5-17","51","11875","2562",NA,"C","18","46116","0.15","0.55","17639.37","0.085","81","120",NA,"14643",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2355","06-14-302-007-0000","06-14-302-007-0000","Retail-Freestanding","4 N BARTLETT STREAMWOOD","5-17","34","18300","2400",NA,"C","18","43200","0.15","0.55","16524","0.085","81","120",NA,"104400",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2356","06-07-302-057-0000","06-07-302-057-0000","Retail-Freestanding","835  SUMMIT ELGIN","5-17","19","42686","7797",NA,"C","17.82","138942.54","0.15","0.55","53145.52155","0.085","80.19","118.8",NA,"137976",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2357","06-19-115-024-0000","06-19-115-024-0000","Retail-Freestanding","877  VILLA ELGIN","5-17","63","17800","11167",NA,"C","14.4","160804.8","0.15","0.55","61507.836","0.085","64.8","96",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2358","06-24-201-003-0000","06-24-201-003-0000","Retail-Freestanding","1599 E OLD CHURCH STREAMWOOD","5-17","39","43212","2238",NA,"C","27.72","62037.36","0.15","0.55","23729.2902","0.085","124.74","184.8",NA,"411120",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2359","06-22-302-013-0000","06-22-302-013-0000","Retail-Freestanding","1001  SUTTON STREAMWOOD","5-17","16","559947","167166",NA,"C","15.84","2647909.44","0.15","0.55","1012825.3608","0.085","71.28","105.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2360","06-19-119-018-0000","06-19-119-018-0000","Retail-Freestanding","959  VILLA ELGIN","5-17","69","11503","1314",NA,"C","18","23652","0.15","0.55","9046.89","0.085","81","120",NA,"37482",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2361","06-13-401-048-0000","06-13-401-048-0000","Retail-Freestanding","160 N BARRINGTON STREAMWOOD","5-17","22","82110","22413",NA,"C","15.84","355021.92","0.15","0.55","135795.8844","0.085","71.28","105.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2362","06-07-302-036-0000","06-07-302-036-0000","Retail-Freestanding","957  SUMMIT ELGIN","5-17","32","19907","3203",NA,"C","18","57654","0.15","0.55","22052.655","0.085","81","120",NA,"85140",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2363","06-35-316-044-0000","06-35-316-044-0000","Retail-Freestanding","399 S MAIN BARTLETT","5-17","15","72658","13044",NA,"C","17.28","225400.32","0.15","0.55","86215.6224","0.085","77.76","115.2",NA,"245784",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2364","06-24-401-005-0000","06-24-401-005-0000","Retail-Freestanding","2621 W SCHAUMBURG SCHAUMBURG","5-17","24","537221","179497",NA,"C","15.84","2843232.48","0.15","0.55","1087536.4236","0.085","71.28","105.6",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2365","06-25-300-012-0000","06-25-300-012-0000","Retail-Freestanding","900 E IRVING PARK STREAMWOOD","5-17","50","14849","1922",NA,"C","18","34596","0.15","0.55","13232.97","0.085","81","120",NA,"85932",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2366","06-24-205-001-0000","06-24-205-001-0000","Retail-Freestanding","100  BARRINGTON SCHAUMBURG","5-17","24","669140","133320",NA,"C","14.4","1919808","0.15","0.55","734326.56","0.085","64.8","96",NA,"815160",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2367","06-25-302-059-0000","06-25-302-059-0000","Retail-Freestanding","7421  ASTOR HANOVER PARK","5-17","43","8400","2400",NA,"C","18","43200","0.15","0.55","16524","0.085","81","120",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2368","06-34-414-072-0000","06-34-414-072-0000 06-34-414-075-0000","Retail-Freestanding","374 S MAIN BARTLETT","5-17","29","15662","3540",NA,"C","18","63720","0.15","0.55","24372.9","0.085","81","120",NA,"18024",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2369","06-22-302-018-0000","06-22-302-018-0000","Retail-Freestanding","921 W IRVING PARK STREAMWOOD","5-17","7","82437","7008",NA,"C","19.44","136235.52","0.15","0.55","52110.0864","0.085","87.48","129.6",NA,"652860",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2370","06-22-411-026-0000","06-22-411-026-0000 06-23-310-001-0000","Retail-Freestanding","25 W STREAMWOOD STREAMWOOD","5-17","39","63977","4900",NA,"C","16.2","79380","0.15","0.55","30362.85","0.085","72.9","108",NA,"399393",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2371","06-25-301-015-0000","06-25-301-015-0000","Retail-Freestanding","1004 E IRVING PARK STREAMWOOD","5-17","52","19100","2550",NA,"C","16.2","41310","0.15","0.55","15801.075","0.085","72.9","108",NA,"106800",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2372","06-26-117-011-0000","06-26-117-011-0000","Retail-Freestanding","13 E IRVING PARK STREAMWOOD","5-17","20","140283","20096",NA,"C","15.84","318320.64","0.15","0.55","121757.6448","0.085","71.28","105.6",NA,"539091",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2373","06-25-401-031-0000","06-25-401-031-0000","Retail-Freestanding","7420  BARRINGTON HANOVER PARK","5-17","36","14560","1680",NA,"C","18","30240","0.15","0.55","11566.8","0.085","81","120",NA,"94080",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2374","06-07-302-049-0000","06-07-302-049-0000","Retail-Freestanding","823  SUMMIT ELGIN","5-17","43","13504","2400",NA,"C","18","43200","0.15","0.55","16524","0.085","81","120",NA,"46848",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2375","06-25-202-005-0000","06-25-202-005-0000","Retail-Freestanding","960 S BARRINGTON STREAMWOOD","5-17","30","244372","76806",NA,"C","6.912","530883.072","0.15","0.55","203062.77504","0.085","31.104","46.08",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2376","06-25-301-041-0000","06-25-301-041-0000","Retail-Freestanding","2151 W IRVING PARK HANOVER PARK","5-17","39","22195","3054",NA,"C","18","54972","0.15","0.55","21026.79","0.085","81","120",NA,"119748",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2377","06-18-300-091-0000","06-18-300-091-0000 06-18-300-094-0000","Retail-Freestanding","932 E CHICAGO ELGIN","5-17","25/31","119940","30047",NA,"C","14.4","432676.8","0.15","0.55","165498.876","0.085","64.8","96",NA,"0",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2378","06-18-302-011-0000","06-18-302-011-0000","Retail-Freestanding","225  WILLARD ELGIN","5-17","62","159430","15660",NA,"C","14.4","225504","0.15","0.55","86255.28","0.085","64.8","96",NA,"580740",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2379","06-07-302-054-0000","06-07-302-054-0000","Fast Food","846  SUMMIT ELGIN","5-17","1","29664","3276",NA,"C","23","75348","0.05","0.15","60843.51","0.08","232.15625","420",NA,"198720",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2380","06-22-302-020-0000","06-22-302-020-0000","Fast Food","665  SUTTON STREAMWOOD","5-17","13","38672","3160",NA,"C","23","72680","0.05","0.15","58689.1","0.08","232.15625","420",NA,"234288",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2381","06-07-314-024-0000","06-07-314-024-0000","Fast Food","1050  SUMMIT ELGIN","5-17","25","35793","2460",NA,"C","23","56580","0.05","0.15","45688.35","0.08","232.15625","420",NA,"311436",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
"2382","06-24-404-001-0000","06-24-404-001-0000","Fast Food","666 S BARRINGTON STREAMWOOD","5-17","10","43299","1662",NA,"C","23","38226","0.05","0.15","30867.495","0.08","232.15625","420",NA,"439812",NA,"5-17s","2022.ICValuationModels.T18.Hanover.xlsx"
