keypin_concat,keypin,pins,has_range,pins2,pins3,check_me,Alea_added
08261000140000,08-26-100-014-0000,"08-26-100-014-0000, 08-26-100-015-0000, 08-26-100-016-0000, 08-26-100-017-0000",0,08-26-100-014-0000,08-26-100-014-0000,0,0
08261000140000,08-26-100-014-0000,"08-26-100-014-0000, 08-26-100-015-0000, 08-26-100-016-0000, 08-26-100-017-0000",0,08-26-100-015-0000,08-26-100-015-0000,0,0
08261000140000,08-26-100-014-0000,"08-26-100-014-0000, 08-26-100-015-0000, 08-26-100-016-0000, 08-26-100-017-0000",0,08-26-100-016-0000,08-26-100-016-0000,0,0
08261000140000,08-26-100-014-0000,"08-26-100-014-0000, 08-26-100-015-0000, 08-26-100-016-0000, 08-26-100-017-0000",0,08-26-100-017-0000,08-26-100-017-0000,0,0
08261020410000,08-26-102-041-0000,08-26-102-041-0000,0,08-26-102-041-0000,08-26-102-041-0000,0,0
08262010320000,08-26-201-032-0000,"08-26-201-015-0000, 08-26-201-032-0000, 08-26-201-033-0000",0,08-26-201-015-0000,08-26-201-015-0000,0,0
08262010320000,08-26-201-032-0000,"08-26-201-015-0000, 08-26-201-032-0000, 08-26-201-033-0000",0,08-26-201-032-0000,08-26-201-032-0000,0,0
08262010320000,08-26-201-032-0000,"08-26-201-015-0000, 08-26-201-032-0000, 08-26-201-033-0000",0,08-26-201-033-0000,08-26-201-033-0000,0,0
08262040020000,08-26-204-002-0000,08-26-204-002-0000,0,08-26-204-002-0000,08-26-204-002-0000,0,0
08263000160000,08-26-300-016-0000,"08-26-300-016-0000, 08-26-300-017-0000",0,08-26-300-016-0000,08-26-300-016-0000,0,0
08263000160000,08-26-300-016-0000,"08-26-300-016-0000, 08-26-300-017-0000",0,08-26-300-017-0000,08-26-300-017-0000,0,0
08263000240000,08-26-300-024-0000,08-26-300-024-0000,0,08-26-300-024-0000,08-26-300-024-0000,0,0
08263000260000,08-26-300-026-0000,08-26-300-026-0000,0,08-26-300-026-0000,08-26-300-026-0000,0,0
08263000270000,08-26-300-027-0000,08-26-300-027-0000,0,08-26-300-027-0000,08-26-300-027-0000,0,0
08263000280000,08-26-300-028-0000,"08-26-300-028-0000, 08-26-300-029-0000",0,08-26-300-028-0000,08-26-300-028-0000,0,0
08263000280000,08-26-300-028-0000,"08-26-300-028-0000, 08-26-300-029-0000",0,08-26-300-029-0000,08-26-300-029-0000,0,0
08263000300000,08-26-300-030-0000,08-26-300-030-0000,0,08-26-300-030-0000,08-26-300-030-0000,0,0
08263030140000,08-26-303-014-0000,08-26-303-014-0000,0,08-26-303-014-0000,08-26-303-014-0000,0,0
08263040070000,08-26-304-007-0000,"08-26-304-007-0000, 08-26-304-008-0000",0,08-26-304-007-0000,08-26-304-007-0000,0,0
08263040070000,08-26-304-007-0000,"08-26-304-007-0000, 08-26-304-008-0000",0,08-26-304-008-0000,08-26-304-008-0000,0,0
08263040530000,08-26-304-053-0000,08-26-304-053-0000,0,08-26-304-053-0000,08-26-304-053-0000,0,0
08263090010000,08-26-309-001-0000,08-26-309-001-0000,0,08-26-309-001-0000,08-26-309-001-0000,0,0
08263090060000,08-26-309-006-0000,"08-26-309-006-0000, 08-26-309-012-0000",0,08-26-309-006-0000,08-26-309-006-0000,0,0
08263090060000,08-26-309-006-0000,"08-26-309-006-0000, 08-26-309-012-0000",0,08-26-309-012-0000,08-26-309-012-0000,0,0
08263090200000,08-26-309-020-0000,08-26-309-020-0000,0,08-26-309-020-0000,08-26-309-020-0000,0,0
08264100060000,08-26-410-006-0000,"08-26-410-006-0000, 08-35-201-012-0000",0,08-26-410-006-0000,08-26-410-006-0000,0,0
08264100060000,08-26-410-006-0000,"08-26-410-006-0000, 08-35-201-012-0000",0,08-35-201-012-0000,08-35-201-012-0000,0,0
08264110140000,08-26-411-014-0000,08-26-411-014-0000,0,08-26-411-014-0000,08-26-411-014-0000,0,0
08264110180000,08-26-411-018-0000,08-26-411-018-0000,0,08-26-411-018-0000,08-26-411-018-0000,0,0
08271020460000,08-27-102-046-0000,08-27-102-046-0000,0,08-27-102-046-0000,08-27-102-046-0000,0,0
08271020600000,08-27-102-060-0000,08-27-102-060-0000,0,08-27-102-060-0000,08-27-102-060-0000,0,0
08271020670000,08-27-102-067-0000,08-27-102-067-0000,0,08-27-102-067-0000,08-27-102-067-0000,0,0
08271020840000,08-27-102-084-0000,08-27-102-084-0000,0,08-27-102-084-0000,08-27-102-084-0000,0,0
08271021341003,08-27-102-134-1003,08-27-102-134-1003,0,08-27-102-134-1003,08-27-102-134-1003,0,0
08272000480000,08-27-200-048-0000,08-27-200-048-0000,0,08-27-200-048-0000,08-27-200-048-0000,0,0
08272000690000,08-27-200-069-0000,08-27-200-069-0000,0,08-27-200-069-0000,08-27-200-069-0000,0,0
08272000710000,08-27-200-071-0000,08-27-200-071-0000,0,08-27-200-071-0000,08-27-200-071-0000,0,0
08272020510000,08-27-202-051-0000,08-27-202-051-0000,0,08-27-202-051-0000,08-27-202-051-0000,0,0
08272020540000,08-27-202-054-0000,08-27-202-054-0000,0,08-27-202-054-0000,08-27-202-054-0000,0,0
08272020770000,08-27-202-077-0000,08-27-202-077-0000,0,08-27-202-077-0000,08-27-202-077-0000,0,0
08272030160000,08-27-203-016-0000,08-27-203-016-0000,0,08-27-203-016-0000,08-27-203-016-0000,0,0
08272030210000,08-27-203-021-0000,08-27-203-021-0000,0,08-27-203-021-0000,08-27-203-021-0000,0,0
08272030240000,08-27-203-024-0000,08-27-203-024-0000,0,08-27-203-024-0000,08-27-203-024-0000,0,0
08272030310000,08-27-203-031-0000,08-27-203-031-0000,0,08-27-203-031-0000,08-27-203-031-0000,0,0
08272030350000,08-27-203-035-0000,08-27-203-035-0000,0,08-27-203-035-0000,08-27-203-035-0000,0,0
08272030360000,08-27-203-036-0000,08-27-203-036-0000,0,08-27-203-036-0000,08-27-203-036-0000,0,0
08272030390000,08-27-203-039-0000,08-27-203-039-0000,0,08-27-203-039-0000,08-27-203-039-0000,0,0
08273000320000,08-27-300-032-0000,08-27-300-032-0000,0,08-27-300-032-0000,08-27-300-032-0000,0,0
08273000470000,08-27-300-047-0000,08-27-300-047-0000,0,08-27-300-047-0000,08-27-300-047-0000,0,0
08273010220000,08-27-301-022-0000,08-27-301-022-0000,0,08-27-301-022-0000,08-27-301-022-0000,0,0
08273010230000,08-27-301-023-0000,08-27-301-023-0000,0,08-27-301-023-0000,08-27-301-023-0000,0,0
08273010520000,08-27-301-052-0000,08-27-301-052-0000,0,08-27-301-052-0000,08-27-301-052-0000,0,0
08273010540000,08-27-301-054-0000,08-27-301-054-0000,0,08-27-301-054-0000,08-27-301-054-0000,0,0
08273030270000,08-27-303-027-0000,08-27-303-027-0000,0,08-27-303-027-0000,08-27-303-027-0000,0,0
08273030680000,08-27-303-068-0000,08-27-303-068-0000,0,08-27-303-068-0000,08-27-303-068-0000,0,0
08273030820000,08-27-303-082-0000,08-27-303-082-0000,0,08-27-303-082-0000,08-27-303-082-0000,0,0
08274000100000,08-27-400-010-0000,08-27-400-010-0000,0,08-27-400-010-0000,08-27-400-010-0000,0,0
08274000260000,08-27-400-026-0000,08-27-400-026-0000,0,08-27-400-026-0000,08-27-400-026-0000,0,0
08274000350000,08-27-400-035-0000,08-27-400-035-0000,0,08-27-400-035-0000,08-27-400-035-0000,0,0
08274000450000,08-27-400-045-0000,08-27-400-045-0000,0,08-27-400-045-0000,08-27-400-045-0000,0,0
08274000670000,08-27-400-067-0000,08-27-400-067-0000,0,08-27-400-067-0000,08-27-400-067-0000,0,0
08274000710000,08-27-400-071-0000,08-27-400-071-0000,0,08-27-400-071-0000,08-27-400-071-0000,0,0
08274000830000,08-27-400-083-0000,"08-27-400-083-0000, 08-27-400-084-0000",0,08-27-400-083-0000,08-27-400-083-0000,0,0
08274000830000,08-27-400-083-0000,"08-27-400-083-0000, 08-27-400-084-0000",0,08-27-400-084-0000,08-27-400-084-0000,0,0
08274000870000,08-27-400-087-0000,08-27-400-087-0000,0,08-27-400-087-0000,08-27-400-087-0000,0,0
08274000880000,08-27-400-088-0000,08-27-400-088-0000,0,08-27-400-088-0000,08-27-400-088-0000,0,0
08274000920000,08-27-400-092-0000,08-27-400-092-0000,0,08-27-400-092-0000,08-27-400-092-0000,0,0
08274000940000,08-27-400-094-0000,08-27-400-094-0000,0,08-27-400-094-0000,08-27-400-094-0000,0,0
08274000950000,08-27-400-095-0000,08-27-400-095-0000,0,08-27-400-095-0000,08-27-400-095-0000,0,0
08274000960000,08-27-400-096-0000,08-27-400-096-0000,0,08-27-400-096-0000,08-27-400-096-0000,0,0
08274010160000,08-27-401-016-0000,08-27-401-016-0000,0,08-27-401-016-0000,08-27-401-016-0000,0,0
08274020150000,08-27-402-015-0000,08-27-402-015-0000,0,08-27-402-015-0000,08-27-402-015-0000,0,0
08274020260000,08-27-402-026-0000,08-27-402-026-0000,0,08-27-402-026-0000,08-27-402-026-0000,0,0
08274020580000,08-27-402-058-0000,08-27-402-058-0000,0,08-27-402-058-0000,08-27-402-058-0000,0,0
08274020600000,08-27-402-060-0000,08-27-402-060-0000,0,08-27-402-060-0000,08-27-402-060-0000,0,0
08274020690000,08-27-402-069-0000,08-27-402-069-0000,0,08-27-402-069-0000,08-27-402-069-0000,0,0
08274020700000,08-27-402-070-0000,08-27-402-070-0000,0,08-27-402-070-0000,08-27-402-070-0000,0,0
08341000580000,08-34-100-058-0000,08-34-100-058-0000,0,08-34-100-058-0000,08-34-100-058-0000,0,0
08341000640000,08-34-100-064-0000,08-34-100-064-0000,0,08-34-100-064-0000,08-34-100-064-0000,0,0
08341000760000,08-34-100-076-0000,08-34-100-076-0000,0,08-34-100-076-0000,08-34-100-076-0000,0,0
08341010290000,08-34-101-029-0000,08-34-101-029-0000,0,08-34-101-029-0000,08-34-101-029-0000,0,0
08341010300000,08-34-101-030-0000,08-34-101-030-0000,0,08-34-101-030-0000,08-34-101-030-0000,0,0
08341010500000,08-34-101-050-0000,08-34-101-050-0000,0,08-34-101-050-0000,08-34-101-050-0000,0,0
08341010510000,08-34-101-051-0000,08-34-101-051-0000,0,08-34-101-051-0000,08-34-101-051-0000,0,0
08341010520000,08-34-101-052-0000,08-34-101-052-0000,0,08-34-101-052-0000,08-34-101-052-0000,0,0
08341020160000,08-34-102-016-0000,08-34-102-016-0000,0,08-34-102-016-0000,08-34-102-016-0000,0,0
08341020240000,08-34-102-024-0000,08-34-102-024-0000,0,08-34-102-024-0000,08-34-102-024-0000,0,0
08341020250000,08-34-102-025-0000,08-34-102-025-0000,0,08-34-102-025-0000,08-34-102-025-0000,0,0
08341020290000,08-34-102-029-0000,08-34-102-029-0000,0,08-34-102-029-0000,08-34-102-029-0000,0,0
08342000220000,08-34-200-022-0000,08-34-200-022-0000,0,08-34-200-022-0000,08-34-200-022-0000,0,0
08342010070000,08-34-201-007-0000,08-34-201-007-0000,0,08-34-201-007-0000,08-34-201-007-0000,0,0
08342010080000,08-34-201-008-0000,08-34-201-008-0000,0,08-34-201-008-0000,08-34-201-008-0000,0,0
08342010100000,08-34-201-010-0000,08-34-201-010-0000,0,08-34-201-010-0000,08-34-201-010-0000,0,0
08342010240000,08-34-201-024-0000,08-34-201-024-0000,0,08-34-201-024-0000,08-34-201-024-0000,0,0
08342010260000,08-34-201-026-0000,08-34-201-026-0000,0,08-34-201-026-0000,08-34-201-026-0000,0,0
08342020280000,08-34-202-028-0000,08-34-202-028-0000,0,08-34-202-028-0000,08-34-202-028-0000,0,0
08342020300000,08-34-202-030-0000,08-34-202-030-0000,0,08-34-202-030-0000,08-34-202-030-0000,0,0
08342020330000,08-34-202-033-0000,08-34-202-033-0000,0,08-34-202-033-0000,08-34-202-033-0000,0,0
08342020340000,08-34-202-034-0000,08-34-202-034-0000,0,08-34-202-034-0000,08-34-202-034-0000,0,0
08342030030000,08-34-203-003-0000,08-34-203-003-0000,0,08-34-203-003-0000,08-34-203-003-0000,0,0
08342030260000,08-34-203-026-0000,08-34-203-026-0000,0,08-34-203-026-0000,08-34-203-026-0000,0,0
08342040070000,08-34-204-007-0000,08-34-204-007-0000,0,08-34-204-007-0000,08-34-204-007-0000,0,0
08342040090000,08-34-204-009-0000,08-34-204-009-0000,0,08-34-204-009-0000,08-34-204-009-0000,0,0
08342050160000,08-34-205-016-0000,08-34-205-016-0000,0,08-34-205-016-0000,08-34-205-016-0000,0,0
08342050240000,08-34-205-024-0000,08-34-205-024-0000,0,08-34-205-024-0000,08-34-205-024-0000,0,0
08343000520000,08-34-300-052-0000,08-34-300-052-0000,0,08-34-300-052-0000,08-34-300-052-0000,0,0
08343010290000,08-34-301-029-0000,08-34-301-029-0000,0,08-34-301-029-0000,08-34-301-029-0000,0,0
08343020200000,08-34-302-020-0000,08-34-302-020-0000,0,08-34-302-020-0000,08-34-302-020-0000,0,0
08343020280000,08-34-302-028-0000,08-34-302-028-0000,0,08-34-302-028-0000,08-34-302-028-0000,0,0
08343020300000,08-34-302-030-0000,08-34-302-030-0000,0,08-34-302-030-0000,08-34-302-030-0000,0,0
08343020350000,08-34-302-035-0000,08-34-302-035-0000,0,08-34-302-035-0000,08-34-302-035-0000,0,0
08343050280000,08-34-305-028-0000,08-34-305-028-0000,0,08-34-305-028-0000,08-34-305-028-0000,0,0
08343050330000,08-34-305-033-0000,08-34-305-033-0000,0,08-34-305-033-0000,08-34-305-033-0000,0,0
08343050340000,08-34-305-034-0000,08-34-305-034-0000,0,08-34-305-034-0000,08-34-305-034-0000,0,0
08343050360000,08-34-305-036-0000,08-34-305-036-0000,0,08-34-305-036-0000,08-34-305-036-0000,0,0
08343070120000,08-34-307-012-0000,08-34-307-012-0000,0,08-34-307-012-0000,08-34-307-012-0000,0,0
08343070210000,08-34-307-021-0000,"08-34-307-021-0000, 08-34-307-022-0000",0,08-34-307-021-0000,08-34-307-021-0000,0,0
08343070210000,08-34-307-021-0000,"08-34-307-021-0000, 08-34-307-022-0000",0,08-34-307-022-0000,08-34-307-022-0000,0,0
08343080020000,08-34-308-002-0000,08-34-308-002-0000,0,08-34-308-002-0000,08-34-308-002-0000,0,0
08344000040000,08-34-400-004-0000,"08-34-400-004-0000, 08-34-400-005-0000, 08-34-400-017-0000, 08-34-400-018-0000, 08-34-400-019-0000",0,08-34-400-004-0000,08-34-400-004-0000,0,0
08344000040000,08-34-400-004-0000,"08-34-400-004-0000, 08-34-400-005-0000, 08-34-400-017-0000, 08-34-400-018-0000, 08-34-400-019-0000",0,08-34-400-005-0000,08-34-400-005-0000,0,0
08344000040000,08-34-400-004-0000,"08-34-400-004-0000, 08-34-400-005-0000, 08-34-400-017-0000, 08-34-400-018-0000, 08-34-400-019-0000",0,08-34-400-017-0000,08-34-400-017-0000,0,0
08344000040000,08-34-400-004-0000,"08-34-400-004-0000, 08-34-400-005-0000, 08-34-400-017-0000, 08-34-400-018-0000, 08-34-400-019-0000",0,08-34-400-018-0000,08-34-400-018-0000,0,0
08344000040000,08-34-400-004-0000,"08-34-400-004-0000, 08-34-400-005-0000, 08-34-400-017-0000, 08-34-400-018-0000, 08-34-400-019-0000",0,08-34-400-019-0000,08-34-400-019-0000,0,0
08344000240000,08-34-400-024-0000,08-34-400-024-0000,0,08-34-400-024-0000,08-34-400-024-0000,0,0
08344000260000,08-34-400-026-0000,08-34-400-026-0000,0,08-34-400-026-0000,08-34-400-026-0000,0,0
08344020470000,08-34-402-047-0000,08-34-402-047-0000,0,08-34-402-047-0000,08-34-402-047-0000,0,0
08344020500000,08-34-402-050-0000,08-34-402-050-0000,0,08-34-402-050-0000,08-34-402-050-0000,0,0
08344030180000,08-34-403-018-0000,08-34-403-018-0000,0,08-34-403-018-0000,08-34-403-018-0000,0,0
08344030200000,08-34-403-020-0000,08-34-403-020-0000,0,08-34-403-020-0000,08-34-403-020-0000,0,0
08344040140000,08-34-404-014-0000,"08-34-404-014-0000, 08-34-404-015-0000, 08-34-404-016-0000",0,08-34-404-014-0000,08-34-404-014-0000,0,0
08344040140000,08-34-404-014-0000,"08-34-404-014-0000, 08-34-404-015-0000, 08-34-404-016-0000",0,08-34-404-015-0000,08-34-404-015-0000,0,0
08344040140000,08-34-404-014-0000,"08-34-404-014-0000, 08-34-404-015-0000, 08-34-404-016-0000",0,08-34-404-016-0000,08-34-404-016-0000,0,0
08351020280000,08-35-102-028-0000,08-35-102-028-0000,0,08-35-102-028-0000,08-35-102-028-0000,0,0
08351020320000,08-35-102-032-0000,08-35-102-032-0000,0,08-35-102-032-0000,08-35-102-032-0000,0,0
08351020470000,08-35-102-047-0000,08-35-102-047-0000,0,08-35-102-047-0000,08-35-102-047-0000,0,0
08351030160000,08-35-103-016-0000,08-35-103-016-0000,0,08-35-103-016-0000,08-35-103-016-0000,0,0
08351030210000,08-35-103-021-0000,08-35-103-021-0000,0,08-35-103-021-0000,08-35-103-021-0000,0,0
08351040550000,08-35-104-055-0000,08-35-104-055-0000,0,08-35-104-055-0000,08-35-104-055-0000,0,0
08351040660000,08-35-104-066-0000,08-35-104-066-0000,0,08-35-104-066-0000,08-35-104-066-0000,0,0
08351040720000,08-35-104-072-0000,08-35-104-072-0000,0,08-35-104-072-0000,08-35-104-072-0000,0,0
08351040730000,08-35-104-073-0000,08-35-104-073-0000,0,08-35-104-073-0000,08-35-104-073-0000,0,0
08351040740000,08-35-104-074-0000,08-35-104-074-0000,0,08-35-104-074-0000,08-35-104-074-0000,0,0
08351040790000,08-35-104-079-0000,08-35-104-079-0000,0,08-35-104-079-0000,08-35-104-079-0000,0,0
08351040800000,08-35-104-080-0000,08-35-104-080-0000,0,08-35-104-080-0000,08-35-104-080-0000,0,0
08352000170000,08-35-200-017-0000,08-35-200-017-0000,0,08-35-200-017-0000,08-35-200-017-0000,0,0
08352000210000,08-35-200-021-0000,08-35-200-021-0000,0,08-35-200-021-0000,08-35-200-021-0000,0,0
08352000240000,08-35-200-024-0000,08-35-200-024-0000,0,08-35-200-024-0000,08-35-200-024-0000,0,0
08352010110000,08-35-201-011-0000,08-35-201-011-0000,0,08-35-201-011-0000,08-35-201-011-0000,0,0
08352020220000,08-35-202-022-0000,08-35-202-022-0000,0,08-35-202-022-0000,08-35-202-022-0000,0,0
08352020240000,08-35-202-024-0000,08-35-202-024-0000,0,08-35-202-024-0000,08-35-202-024-0000,0,0
08352020450000,08-35-202-045-0000,08-35-202-045-0000,0,08-35-202-045-0000,08-35-202-045-0000,0,0
08352030110000,08-35-203-011-0000,08-35-203-011-0000,0,08-35-203-011-0000,08-35-203-011-0000,0,0
08352030230000,08-35-203-023-0000,08-35-203-023-0000,0,08-35-203-023-0000,08-35-203-023-0000,0,0
08353000040000,08-35-300-004-0000,08-35-300-004-0000,0,08-35-300-004-0000,08-35-300-004-0000,0,0
08353010360000,08-35-301-036-0000,08-35-301-036-0000,0,08-35-301-036-0000,08-35-301-036-0000,0,0
08353010440000,08-35-301-044-0000,08-35-301-044-0000,0,08-35-301-044-0000,08-35-301-044-0000,0,0
08353010660000,08-35-301-066-0000,08-35-301-066-0000,0,08-35-301-066-0000,08-35-301-066-0000,0,0
08353010690000,08-35-301-069-0000,08-35-301-069-0000,0,08-35-301-069-0000,08-35-301-069-0000,0,0
08353010710000,08-35-301-071-0000,08-35-301-071-0000,0,08-35-301-071-0000,08-35-301-071-0000,0,0
08353020100000,08-35-302-010-0000,"08-35-302-010-0000, 08-35-302-013-0000",0,08-35-302-010-0000,08-35-302-010-0000,0,0
08353020100000,08-35-302-010-0000,"08-35-302-010-0000, 08-35-302-013-0000",0,08-35-302-013-0000,08-35-302-013-0000,0,0
08354030430000,08-35-403-043-0000,"08-35-403-042-0000, 08-35-403-043-0000, 08-35-403-044-0000, 08-35-403-045-0000, 08-35-403-058-0000",0,08-35-403-042-0000,08-35-403-042-0000,0,0
08354030430000,08-35-403-043-0000,"08-35-403-042-0000, 08-35-403-043-0000, 08-35-403-044-0000, 08-35-403-045-0000, 08-35-403-058-0000",0,08-35-403-043-0000,08-35-403-043-0000,0,0
08354030430000,08-35-403-043-0000,"08-35-403-042-0000, 08-35-403-043-0000, 08-35-403-044-0000, 08-35-403-045-0000, 08-35-403-058-0000",0,08-35-403-044-0000,08-35-403-044-0000,0,0
08354030430000,08-35-403-043-0000,"08-35-403-042-0000, 08-35-403-043-0000, 08-35-403-044-0000, 08-35-403-045-0000, 08-35-403-058-0000",0,08-35-403-045-0000,08-35-403-045-0000,0,0
08354030430000,08-35-403-043-0000,"08-35-403-042-0000, 08-35-403-043-0000, 08-35-403-044-0000, 08-35-403-045-0000, 08-35-403-058-0000",0,08-35-403-058-0000,08-35-403-058-0000,0,0
08354030570000,08-35-403-057-0000,08-35-403-057-0000,0,08-35-403-057-0000,08-35-403-057-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-004-0000,08-35-404-004-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-005-0000,08-35-404-005-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-006-0000,08-35-404-006-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-007-0000,08-35-404-007-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-008-0000,08-35-404-008-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-009-0000,08-35-404-009-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-010-0000,08-35-404-010-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-053-0000,08-35-404-053-0000,0,0
08354040040000,08-35-404-004-0000,"08-35-404-004-0000, 08-35-404-005-0000, 08-35-404-006-0000, 08-35-404-007-0000, 08-35-404-008-0000, 08-35-404-009-0000, 08-35-404-010-0000, 08-35-404-053-0000, 08-35-404-076-0000",0,08-35-404-076-0000,08-35-404-076-0000,0,0
08354040690000,08-35-404-069-0000,"08-35-404-069-0000, 08-35-404-070-0000",0,08-35-404-069-0000,08-35-404-069-0000,0,0
08354040690000,08-35-404-069-0000,"08-35-404-069-0000, 08-35-404-070-0000",0,08-35-404-070-0000,08-35-404-070-0000,0,0
09081010050000,09-08-101-005-0000,09-08-101-005-0000,0,09-08-101-005-0000,09-08-101-005-0000,0,0
09181000040000,09-18-100-004-0000,09-18-100-004-0000,0,09-18-100-004-0000,09-18-100-004-0000,0,0
09182140100000,09-18-214-010-0000,"09-18-214-010-0000, 09-18-214-012-0000",0,09-18-214-010-0000,09-18-214-010-0000,0,0
09182140100000,09-18-214-010-0000,"09-18-214-010-0000, 09-18-214-012-0000",0,09-18-214-012-0000,09-18-214-012-0000,0,0
09182150020000,09-18-215-002-0000,09-18-215-002-0000,0,09-18-215-002-0000,09-18-215-002-0000,0,0
09184000120000,09-18-400-012-0000,09-18-400-012-0000,0,09-18-400-012-0000,09-18-400-012-0000,0,0
09193010100000,09-19-301-010-0000,09-19-301-010-0000,0,09-19-301-010-0000,09-19-301-010-0000,0,0
09193010170000,09-19-301-017-0000,09-19-301-017-0000,0,09-19-301-017-0000,09-19-301-017-0000,0,0
09193010210000,09-19-301-021-0000,09-19-301-021-0000,0,09-19-301-021-0000,09-19-301-021-0000,0,0
09193010280000,09-19-301-028-0000,09-19-301-028-0000,0,09-19-301-028-0000,09-19-301-028-0000,0,0
09193010300000,09-19-301-030-0000,09-19-301-030-0000,0,09-19-301-030-0000,09-19-301-030-0000,0,0
09204000510000,09-20-400-051-0000,09-20-400-051-0000,0,09-20-400-051-0000,09-20-400-051-0000,0,0
09283000100000,09-28-300-010-0000,09-28-300-010-0000,0,09-28-300-010-0000,09-28-300-010-0000,0,0
09283000210000,09-28-300-021-0000,09-28-300-021-0000,0,09-28-300-021-0000,09-28-300-021-0000,0,0
09283000310000,09-28-300-031-0000,09-28-300-031-0000,0,09-28-300-031-0000,09-28-300-031-0000,0,0
09283000330000,09-28-300-033-0000,09-28-300-033-0000,0,09-28-300-033-0000,09-28-300-033-0000,0,0
09294150010000,09-29-415-001-0000,09-29-415-001-0000,0,09-29-415-001-0000,09-29-415-001-0000,0,0
09301000370000,09-30-100-037-0000,09-30-100-037-0000,0,09-30-100-037-0000,09-30-100-037-0000,0,0
09301000390000,09-30-100-039-0000,"09-30-100-039-0000, 09-30-100-048-0000",0,09-30-100-039-0000,09-30-100-039-0000,0,0
09301000390000,09-30-100-039-0000,"09-30-100-039-0000, 09-30-100-048-0000",0,09-30-100-048-0000,09-30-100-048-0000,0,0
09301010240000,09-30-101-024-0000,09-30-101-024-0000,0,09-30-101-024-0000,09-30-101-024-0000,0,0
09301010290000,09-30-101-029-0000,09-30-101-029-0000,0,09-30-101-029-0000,09-30-101-029-0000,0,0
09301010350000,09-30-101-035-0000,09-30-101-035-0000,0,09-30-101-035-0000,09-30-101-035-0000,0,0
09303000210000,09-30-300-021-0000,"09-30-300-021-0000, 09-30-300-022-0000, 09-30-300-054-0000, 09-30-300-056-0000",0,09-30-300-021-0000,09-30-300-021-0000,0,0
09303000210000,09-30-300-021-0000,"09-30-300-021-0000, 09-30-300-022-0000, 09-30-300-054-0000, 09-30-300-056-0000",0,09-30-300-022-0000,09-30-300-022-0000,0,0
09303000210000,09-30-300-021-0000,"09-30-300-021-0000, 09-30-300-022-0000, 09-30-300-054-0000, 09-30-300-056-0000",0,09-30-300-054-0000,09-30-300-054-0000,0,0
09303000210000,09-30-300-021-0000,"09-30-300-021-0000, 09-30-300-022-0000, 09-30-300-054-0000, 09-30-300-056-0000",0,09-30-300-056-0000,09-30-300-056-0000,0,0
09303000250000,09-30-300-025-0000,09-30-300-025-0000,0,09-30-300-025-0000,09-30-300-025-0000,0,0
09303000580000,09-30-300-058-0000,09-30-300-058-0000,0,09-30-300-058-0000,09-30-300-058-0000,0,0
09303000630000,09-30-300-063-0000,09-30-300-063-0000,0,09-30-300-063-0000,09-30-300-063-0000,0,0
09303010010000,09-30-301-001-0000,09-30-301-001-0000,0,09-30-301-001-0000,09-30-301-001-0000,0,0
09304000120000,09-30-400-012-0000,09-30-400-012-0000,0,09-30-400-012-0000,09-30-400-012-0000,0,0
