"","key_pin","pi_ns","address","tax_district","classes","subclass2","land_total_sf","gba","market_value","x2025_partial_value","x2025_partial_value_reason","sheet_name","file_name","idph_number","bldg_sf","units_beds","revenue_bed_night","est_pgi","est_vacancy_percent","exp_percent","noi","cap_rate","final_mv_bed","impr_name","year_blt","units_keys","rev_key_night","occupancy","rev_par","total_rev","ebitda_noi","final_mv_key","investment_rating","adj_rent_sf","pgi","v_c","egi","percent_exp","l_b_ratio","excess_land_area","excess_land_value","final_mv_sf","studios","x1br","x2br","x3br","x4br","mobile_home_pads","comm_sf","adjusted_pgi","final_mv_unit","nbhd","town_region","land_total_val","model"
"1947","08-12-120-003-0000","08-12-120-003-0000","9 E PROSPECT MOUNT PROSPECT","16140","5-17","77:RETAIL-MULTI TENANT","5664",NA,"375000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3200",NA,NA,NA,NA,NA,"30964.6161510834","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","70400","0.05","66880","0.53701231831514","4","0","0","117.290212693498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948","08-12-122-003-0000","08-12-122-003-0000","109 E PROSPECT MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","8300",NA,"416000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3545",NA,NA,NA,NA,NA,"34302.9480894235","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","77990","0.05","74090.5","0.537012868189262","4","0","0","117.290073392054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949","08-12-214-066-0000","08-12-214-066-0000","410 E NORTHWEST MOUNT PROSPECT","16140","5-17","54:OFFICE-MEDICAL OFFICE BUILDINGS/SPACES","8883",NA,"418000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3354",NA,NA,NA,NA,NA,"37659.0272664969","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","26","87204","0.1","78483.6","0.520166923198007","4","0","0","124.756599968518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950","08-12-221-002-0000","08-12-221-002-0000 08-12-221-003-0000 08-12-221-004-0000","500 E NORTHWEST MOUNT PROSPECT","16140","5-17 5-17 5-17","77:RETAIL-MULTI TENANT","8880",NA,"467000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3888",NA,NA,NA,NA,NA,"38562.389253897","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","85536","0.05","81259.2","0.525439713239892","4","0","0","120.221939312561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951","08-12-221-005-0000","08-12-221-005-0000 08-12-221-006-0000 08-12-221-007-0000 08-12-221-008-0000","506 E NORTHWEST MOUNT PROSPECT","16140","5-17 5-17 5-17 5-90","76:RETAIL-SINGLE TENANT","12000",NA,"482000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3588",NA,NA,NA,NA,NA,"39769.0657514411","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","24","86112","0.05","81806.4","0.513863637179473","4","0","0","134.350412997673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952","08-12-221-009-0000","08-12-221-009-0000","514 E NORTHWEST MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","3000",NA,"224000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2100",NA,NA,NA,NA,NA,"18473.2353415784","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","20","42000","0.05","39900","0.537011645574476","4","0","0","106.627621019212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953","08-12-221-010-0000","08-12-221-010-0000","516 E NORTHWEST MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","3000",NA,"220000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1875",NA,NA,NA,NA,NA,"18143.3561390502","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","41250","0.05","39187.5","0.537011645574476","4","0","0","117.290383121133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954","08-12-221-011-0000","08-12-221-011-0000","518 E NORTHWEST MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","3000",NA,"213000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1817",NA,NA,NA,NA,NA,"17582.0513361974","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","39974","0.05","37975.3","0.537013497294362","4","0","0","117.289914018762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955","08-12-221-012-0000","08-12-221-012-0000","524 E NORTHWEST MOUNT PROSPECT","16140","5-17","77:RETAIL-MULTI TENANT","4384",NA,"320000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2664",NA,NA,NA,NA,NA,"26422.5324124216","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","58608","0.05","55677.6","0.525436936713838","4","0","0","120.222642699161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956","08-12-223-027-0000","08-12-223-027-0000","15 E NORTHWEST MOUNT PROSPECT","16140","5-17","54:OFFICE-MEDICAL OFFICE BUILDINGS/SPACES","3000",NA,"167000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"990",NA,NA,NA,NA,NA,"15039.5891265147","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","34.32","33976.8","0.1","30579.12","0.508174560729194","4","0","0","168.794490757741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957","08-12-223-035-0000","08-12-223-035-0000","770 E NORTHWEST MOUNT PROSPECT","16140","5-17","54:OFFICE-MEDICAL OFFICE BUILDINGS/SPACES","9030",NA,"415000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3027",NA,NA,NA,NA,NA,"37386.1341913404","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","28.6","86572.2","0.1","77914.98","0.520167569941745","4","0","0","137.232074996661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958","08-12-223-036-0000","08-12-223-036-0000","710 E NORTHWEST MOUNT PROSPECT","16140","5-17","75:RETAIL-STRIP CENTER","19332",NA,"949000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"6845",NA,NA,NA,NA,NA,"80656.356680539","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","27.72","189743.4","0.07","176461.362","0.542923415265609","4","0","0","138.626488515514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959","08-12-403-008-0000","08-12-403-005-0000 08-12-403-006-0000 08-12-403-007-0000 08-12-403-008-0000 08-12-403-009-0000","864 E NORTHWEST MOUNT PROSPECT","16140","5-90 5-90 5-90 5-17 5-17","77:RETAIL-MULTI TENANT","15000",NA,"629000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3904",NA,NA,NA,NA,NA,"51925.8238911377","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","28.8","112435.2","0.05","106813.44","0.513864323711157","4","0","0","161.220267918336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1960","08-12-403-010-0000","08-12-403-010-0000","874 E NORTHWEST MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","3000",NA,"215000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1625",NA,NA,NA,NA,NA,"17729.1275445448","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","24.2","39325","0.05","37358.75","0.525435740099848","4","0","0","132.245240425509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961","08-12-403-011-0000","08-12-403-011-0000","888 E NORTHWEST MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","5372",NA,"483000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"4019",NA,NA,NA,NA,NA,"39861.8320985319","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","88418","0.05","83997.1","0.525437996091152","4","0","0","120.222374323575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962","08-12-404-011-0000","08-12-404-011-0000 08-12-404-012-0000 08-12-404-013-0000 08-12-404-014-0000","900 E NORTHWEST MOUNT PROSPECT","16140","5-17 5-17 5-90 5-90","57:OFFICE-SINGLETENANT","12000",NA,"281000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1128",NA,NA,NA,NA,NA,"13502.9295307089","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","26.4","29779.2","0.1","26801.28","0.496183408751041","4","7488","131040","133.007580089725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963","08-12-404-015-0000","08-12-404-015-0000 08-12-404-027-0000","926 E NORTHWEST MOUNT PROSPECT","16140","5-17 5-17","76:RETAIL-SINGLE TENANT","6040",NA,"482000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"4524",NA,NA,NA,NA,NA,"39796.5833965347","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","20","90480","0.05","85956","0.537012152769618","4","0","0","106.627504210633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964","08-12-404-021-0000","08-12-404-021-0000","950 E NORTHWEST MOUNT PROSPECT","16140","5-17","57:OFFICE-SINGLETENANT","3000",NA,"208000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1973",NA,NA,NA,NA,NA,"18744.7981992034","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","43406","0.1","39065.4","0.520168788769515","4","0","0","105.562866470707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1965","08-12-404-022-0000","08-12-404-022-0000","960 E NORTHWEST MOUNT PROSPECT","16140","5-17","57:OFFICE-SINGLETENANT","3000",NA,"182000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1725",NA,NA,NA,NA,NA,"16388.6987381721","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","37950","0.1","34155","0.520166923198007","4","0","0","105.563276896439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966","08-12-404-023-0000","08-12-404-023-0000","970 E NORTHWEST MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","3000",NA,"235000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2000",NA,NA,NA,NA,NA,"19352.8740267583","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","44000","0.05","41800","0.537012583091908","4","0","0","117.290145616717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967","08-12-404-024-0000","08-12-404-024-0000","980 E NORTHWEST MOUNT PROSPECT","16140","5-17","76:RETAIL-SINGLE TENANT","3000",NA,"235000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2000",NA,NA,NA,NA,NA,"19352.9132149869","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","44000","0.05","41800","0.537011645574476","4","0","0","117.290383121133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968","08-12-404-029-0000","08-12-404-029-0000","930 E NORTHWEST MOUNT PROSPECT","16140","5-17","56:OFFICE-MULTITENANT","5957",NA,"436000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"5528",NA,NA,NA,NA,NA,"41456.6043681682","0.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","18","99504","0.15","84578.4","0.509844069311217","4","0","0","78.9409025214567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969","08-12-405-025-0000","08-12-405-025-0000 08-12-405-026-0000 08-12-405-027-0000 08-12-405-028-0000 08-12-405-029-0000","1016 E NORTHWEST MOUNT PROSPECT","16140","5-17 5-17 5-17 5-17 5-17","76:RETAIL-SINGLE TENANT","15000",NA,"729000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"7600",NA,NA,NA,NA,NA,"60169.7283206592","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","18","136800","0.05","129960","0.537013478603731","4","0","0","95.9644789803177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970","08-12-405-042-0000","08-12-405-042-0000 08-12-405-043-0000 08-12-405-044-0000","1000 E NORTHWEST MOUNT PROSPECT","16140","5-17 5-90 5-90","57:OFFICE-SINGLETENANT","9652",NA,"351000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3240",NA,NA,NA,NA,NA,"31551.6833294299","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","71280","0.1","64152","0.508173037014748","4","0","0","108.201931856755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971","08-13-102-008-0000","08-13-102-008-0000 08-13-102-009-0000","611 W GOLF DES PLAINES","16042","5-17 5-17","75:RETAIL-STRIP CENTER","41223",NA,"2060000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"15670",NA,NA,NA,NA,NA,"175140.45787175","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","25.2","394884","0.07","367242.12","0.523092672834613","4","0","0","131.491766111153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972","08-13-102-013-0000","08-13-102-013-0000","725 W GOLF MOUNT PROSPECT","16042","5-17","89:RETAIL-FAST FOOD (FRANCHISE)","34882",NA,"1567000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"4620",NA,NA,NA,NA,NA,"99215.6421413391","0.0775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","49.5","228690","0.05","217255.5","0.543322759877936","4","16402","287035","277.099964086969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973","08-13-202-006-0000","08-13-202-006-0000 08-13-202-030-0000","20 W GOLF DES PLAINES","16012","5-17 5-90","88:RETAIL-FAST FOOD","20697",NA,"613000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2556",NA,NA,NA,NA,NA,"38652.777809044","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","35","89460","0.05","84987","0.545191878651511","4","10473","183277.5","168.026333720414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974","08-13-205-006-0000","08-13-205-006-0000 08-13-205-016-0000 08-13-205-018-0000 08-13-205-023-0000 08-13-205-024-0000","23 W GOLF DES PLAINES","16042","5-17 5-17 5-17 5-90 5-17","78:RETAIL-DRUG STORES/PHARMACIES","91728",NA,"3340000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"15048",NA,NA,NA,NA,NA,"195199.175494656","0.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","30.24","455051.52","0.05","432298.944","0.548462520661036","4","31536","551880","185.310981520711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975","08-13-307-038-0000","08-13-307-038-0000","795  ELMHURST DES PLAINES","16042","5-17","76:RETAIL-SINGLE TENANT","12890",NA,"352000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2400",NA,NA,NA,NA,NA,"24249.4788843404","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","52800","0.05","50160","0.516557438509959","4","3290","57575","122.472115577477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976","08-14-110-037-0000","08-14-110-037-0000","1001 S BUSSE MOUNT PROSPECT","16048","5-17","89:RETAIL-FAST FOOD (FRANCHISE)","19963",NA,"1024000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2688",NA,NA,NA,NA,NA,"66880.2877277675","0.0775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","60","161280","0.05","153216","0.563490185569604","4","9211","161192.5","321.045928032678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977","08-14-203-014-0000","08-14-203-014-0000","701 W GOLF MOUNT PROSPECT","16048","5-17","56:OFFICE-MULTITENANT","31363",NA,"632000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"5772",NA,NA,NA,NA,NA,"50228.9115240223","0.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","19.8","114285.6","0.15","97142.76","0.482937158425164","4","8275","103437.5","91.6017644600473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978","08-14-204-007-0000","08-14-204-007-0000","401 W GOLF MOUNT PROSPECT","16048","5-17","76:RETAIL-SINGLE TENANT","24496",NA,"476000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1842",NA,NA,NA,NA,NA,"14524.1940821811","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","17.82","32824.44","0.05","31183.218","0.534230428617691","4","17128","299740","95.5759160476499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979","08-14-204-022-0000","08-14-204-022-0000","1000 S ELMHURST MOUNT PROSPECT","16048","5-17","88:RETAIL-FAST FOOD","25077",NA,"855000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"4182",NA,NA,NA,NA,NA,"63793.8161006873","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","34.65","144906.3","0.05","137660.985","0.536587537124717","4","8349","146107.5","169.493108296635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980","08-15-100-007-0000","08-15-100-007-0000","555 E GOLF ARLINGTON HEIGHTS","16017","5-17","57:OFFICE-SINGLETENANT","24942",NA,"454000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2152",NA,NA,NA,NA,NA,"15178.5559910951","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","16.2","34862.4","0.1","31376.16","0.516239208650928","4","16334","285845","78.3692481985496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981","08-15-100-009-0000","08-15-100-009-0000 08-15-100-012-0000","415 E GOLF ARLINGTON HEIGHTS","16017","5-17 5-17","56:OFFICE-MULTITENANT","68778",NA,"1336000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"18673",NA,NA,NA,NA,NA,"126925.111306535","0.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","16.2","302502.6","0.15","257127.21","0.506372307673951","4","0","0","71.5500349824178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982","08-15-100-011-0000","08-15-100-011-0000","415 E GOLF ARLINGTON HEIGHTS","16017","5-17","89:RETAIL-FAST FOOD (FRANCHISE)","41007",NA,"1586000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"3267",NA,NA,NA,NA,NA,"85044.2912039333","0.0775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","60.5","197653.5","0.05","187770.825","0.547084637861429","4","27939","488932.5","335.887876631153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983","08-15-100-017-0000","08-15-100-017-0000","515 E GOLF ARLINGTON HEIGHTS","16017","5-17","56:OFFICE-MULTITENANT","54480",NA,"1113000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"15552",NA,NA,NA,NA,NA,"105710.948627696","0.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","16.2","251942.4","0.15","214151.04","0.506372004414753","4","0","0","71.5500789390405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984","08-15-100-018-0000","08-15-100-018-0000","505 E GOLF ARLINGTON HEIGHTS","16017","5-17","56:OFFICE-MULTITENANT","61122",NA,"1463000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"17945",NA,NA,NA,NA,NA,"139004.814925267","0.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","18","323010","0.15","274558.5","0.493715128377862","4","0","0","81.5385109033549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","08-15-101-005-0000","08-15-101-005-0000 08-15-101-006-0000","613 E GOLF ARLINGTON HEIGHTS","16017","5-17 5-17","56:OFFICE-MULTITENANT","125018",NA,"3040000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"33824",NA,NA,NA,NA,NA,"288847.276023482","0.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","19.36","654832.64","0.15","556607.744","0.481057748230894","4","0","0","89.8917231064464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1986","08-15-104-049-0000","08-15-104-049-0000","1075 W GOLF MOUNT PROSPECT","16017","5-17","75:RETAIL-STRIP CENTER","48732",NA,"1759000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"11519",NA,NA,NA,NA,NA,"145574.821612597","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","28","322532","0.07","299954.76","0.514677407977799","4","2656","46480","148.68000348539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987","08-15-201-014-0000","08-15-201-014-0000","912 S BUSSE MOUNT PROSPECT","16048","5-17","86:RETAIL-RESTAURANTS","38012",NA,"1170000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"6700",NA,NA,NA,NA,NA,"87603.6610145023","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","29.7","198990","0.05","189040.5","0.536587868660407","4","11212","196210","145.279703174962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","08-15-203-012-0000","08-15-203-012-0000","1766 W GOLF MOUNT PROSPECT","16048","5-17","78:RETAIL-DRUG STORES/PHARMACIES","40188",NA,"1993000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"10898",NA,NA,NA,NA,NA,"139523.732119319","0.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","30.24","329555.52","0.05","313077.744","0.554347970134476","4","0","0","182.895593056811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","08-15-300-016-0000","08-15-300-016-0000","222 E ALGONQUIN ARLINGTON HEIGHTS","16017","5-17","76:RETAIL-SINGLE TENANT","74707",NA,"1577000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"9150",NA,NA,NA,NA,NA,"75059.2686523825","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","18","164700","0.05","156465","0.520280774279344","4","38107","666872.5","99.4327122402814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","08-15-400-048-0000","08-15-400-048-0000","1730  DEMPSTER MOUNT PROSPECT","16048","5-17","75:RETAIL-STRIP CENTER","20488",NA,"1137000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"7955",NA,NA,NA,NA,NA,"96663.6716503568","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","27.72","220512.6","0.07","205076.718","0.5286462910414","4","0","0","142.956589123166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991","08-15-400-050-0000","08-15-400-050-0000","1580 S BUSSE MOUNT PROSPECT","16048","5-17","75:RETAIL-STRIP CENTER","19545",NA,"1089000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"5926",NA,NA,NA,NA,NA,"92523.9590048725","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","33.88","200772.88","0.07","186718.7784","0.504474269820563","4","0","0","183.684975491597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","08-15-400-068-0000","08-15-400-068-0000","1590 S BUSSE MOUNT PROSPECT","16048","5-17","86:RETAIL-RESTAURANTS","14630",NA,"431000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"1981",NA,NA,NA,NA,NA,"28256.5630934966","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","32.4","64184.4","0.05","60975.18","0.536589099146626","4","6706","117355","158.486528091854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993","08-15-402-021-0000","08-15-402-021-0000 08-15-402-022-0000","1801  ALGONQUIN MOUNT PROSPECT","16048","5-17 5-17","75:RETAIL-STRIP CENTER","91605",NA,"2953000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"25250",NA,NA,NA,NA,NA,"251035.238891537","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22.68","572670","0.07","532583.1","0.528645879128464","4","0","0","116.964584224362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994","08-16-100-020-0000","08-16-100-020-0000","1155 W GOLF ROLLING MEADOWS","16006","5-17","76:RETAIL-SINGLE TENANT","45264",NA,"1148000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"4760",NA,NA,NA,NA,NA,"56854.9065705114","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","26.4","125664","0.05","119380.8","0.523751670532352","4","26224","458920","144.779492158165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995","08-16-100-023-0000","08-16-100-023-0000","1331 W GOLF ROLLING MEADOWS","16006","5-17","76:RETAIL-SINGLE TENANT","26288",NA,"6e+05",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"2927",NA,NA,NA,NA,NA,"28423.5800071971","0.0825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","22","64394","0.05","61174.3","0.535367302818387","4","14580","255150","117.706949952675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996","08-16-100-037-0000","08-16-100-037-0000","1319 W GOLF ROLLING MEADOWS","16006","5-17","75:RETAIL-STRIP CENTER","131725",NA,"5443000",NA,NA,"Comm517","Elk Grove 2025.T16.PublicModel.xlsx",NA,"21687",NA,NA,NA,NA,NA,"337545.043030177","0.0725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","36.288","786977.856","0.07","731889.40608","0.538803212307624","4","44977","787097.5","214.681315855948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
