agency_number,agency_name,recaptured_sp_ptab,recaptured_coe,year,total_recaptured
030950020,VILLAGE OF ORLAND PARK   RB,-9308,-283,2021,-9591
030950085,VILLAGE OF ORLAND PARK POLICE PENSION ESCROW,-78951,-2766,2021,-81717
030960000,VILLAGE OF   PALATINE,-203064,-868,2021,-203932
030960020,VILLAGE OF PALATINE   RB,-10879,-49,2021,-10928
030960080,VILLAGE OF PALATINE FIRE PENSION ESCROW,-73661,-368,2021,-74029
030960085,VILLAGE OF PALATINE POLICE PENSION ESCROW,-70623,-356,2021,-70979
030960501,TIF VIL OF PALATINE-DOWNTOWN,-127998,-36056,2021,-164054
030960503,TIF VIL OF PALATINE-RAND RD,-10788,0,2021,-10788
030960504,TIF VIL OF PALATINE-RAND RD/LAKE COOK,-31505,-1581,2021,-33086
030970000,CITY OF   PALOS HEIGHTS,-97250,-5206,2021,-102456
030970001,CITY OF PALOS HEIGHTS LIBRARY FUND,-26783,-1812,2021,-28595
030970020,CITY OF PALOS HEIGHTS   RB,-1183,-71,2021,-1254
030970085,CITY OF PALOS HEIGHTS POLICE PENSION ESCROW,-40481,-2542,2021,-43023
030970503,TIF CITY OF PALOS HEIGHTS-127TH ST/HARLEM AV,-5814,0,2021,-5814
030980000,CITY OF PALOS HILLS,-28898,-17,2021,-28915
030980020,CITY OF PALOS HILLS   RB,-621,-0,2021,-621
030980085,CITY OF PALOS HILLS - POLICE PENSION ESCROW,-9754,-6,2021,-9760
030990000,VILLAGE OF   PALOS PARK,-36278,-1834,2021,-38112
030990001,VILLAGE OF PALOS PARK LIBRARY FUND,-11820,-598,2021,-12418
030990020,VILLAGE OF PALOS PARK   RB,-664,-31,2021,-695
031000000,VILLAGE OF   PARK FOREST,-353236,-42057,2021,-395293
031000001,VILLAGE OF PARK FOREST LIBRARY FUND,-55514,-6290,2021,-61804
031000020,VILLAGE OF PARK FOREST   RB,-1654,-181,2021,-1835
031000080,VILLAGE OF PARK FOREST FIRE PENSION ESCROW,-34147,-4786,2021,-38933
031000085,VILLAGE OF PARK FOREST POLICE PENSION ESCROW,-53809,-8079,2021,-61888
031000500,TIF VIL OF PARK FOREST-DOWNTOWN,-12330,0,2021,-12330
031010000,CITY OF   PARK RIDGE,-109925,-4981,2021,-114906
031010001,CITY OF PARK RIDGE LIBRARY FUND,-55871,-2243,2021,-58114
031010020,CITY OF PARK RIDGE   RB,-3612,-100,2021,-3712
031010080,CITY OF PARK RIDGE FIRE PENSION ESCROW,-26742,-1170,2021,-27912
031010085,CITY OF PARK RIDGE POLICE PENSION ESCROW,-29307,-1293,2021,-30600
031010501,TIF CITY OF PARK RIDGE-UPTOWN,-119601,0,2021,-119601
031020000,VILLAGE OF PHOENIX,-9398,0,2021,-9398
031020020,VILLAGE OF PHOENIX   RB,-1,0,2021,-1
031020500,TIF VIL OF PHOENIX,-19489,0,2021,-19489
031030000,VILLAGE OF   POSEN,-27403,-1951,2021,-29354
031030020,VILLAGE OF POSEN   RB,-423,-32,2021,-455
031030080,VILLAGE OF POSEN FIRE PENSION ESCROW,-2330,-164,2021,-2494
031030085,VILLAGE OF POSEN POLICE PENSION ESCROW,-8230,-588,2021,-8818
031030500,TIF VIL OF POSEN-SIBLEY BLVD,-48776,-9867,2021,-58643
031030501,TIF VIL OF POSEN-2,-1284,0,2021,-1284
031040000,CITY OF PROSPECT HEIGHTS,-7927,-141,2021,-8068
031040020,CITY OF PROSPECT HEIGHTS  R&B,-178,-3,2021,-181
031040085,CITY OF PROSPECT HEIGHTS POLICE PENSION,-2127,-38,2021,-2165
031040104,CITY OF PROSPECT HEIGHTS SPEC SERVICE AREA 5,-102,0,2021,-102
031040105,CITY OF PROSPECT HTS SPECIAL SERVICE AREA 6,-797,0,2021,-797
031040107,CITY OF PROSPECT HTS SPECIAL SERVICE AREA 8,-1006,0,2021,-1006
031040500,TIF CITY OF PROSPECT HEIGHTS,-9315,0,2021,-9315
031050000,VILLAGE OF   RICHTON PARK,-28335,-2355,2021,-30690
031050020,VILLAGE OF RICHTON PARK RB,-1260,-86,2021,-1346
031050085,VILLAGE OF RICHTON PARK POLICE PENSION,-18411,-1258,2021,-19669
031050090,VILLAGE OF RICHTON PARK 2018 CORP TAW,-5653,0,2021,-5653
031050503,TIF VIL OF RICHTON PARK-SAUK TRAIL/I 57,-14000,0,2021,-14000
031050504,TIF VIL OF RICHTON PARK-LAKEWOOD 5,-22801,0,2021,-22801
031050505,TIF VIL OF RICHTON PARK-SAUK TR/GOV HWY 4,-11208,0,2021,-11208
031050506,TIF VIL OF RICHTON PARK-TOWN CENTER,-41866,0,2021,-41866
031060000,VILLAGE OF   RIVER FOREST,-44368,-1887,2021,-46255
031060001,VILLAGE OF RIVER FOREST LIBRARY FUND,-13749,-611,2021,-14360
031060080,VILLAGE OF RIVER FOREST FIRE PENSION ESCROW,-13646,-670,2021,-14316
031060085,VILLAGE OF RIVER FOREST POLICE PENSION,-15992,-729,2021,-16721
031060501,TIF VIL OF RIVER FOREST-MADISON STREET,-6525,0,2021,-6525
031070000,VILLAGE OF   RIVER GROVE,-141424,-1103,2021,-142527
031070020,VILLAGE OF RIVER GROVE   RB,-4857,-33,2021,-4890
031070021,VILLAGE OF RIVER GROVE BOND ESCROW ACCOUNT,-15839,-102,2021,-15941
031070022,VILLAGE OF RIVER GROVE BOND ESCROW 2017,-7390,-65,2021,-7455
031070085,VILLAGE OF RIVER GROVE POLICE PENSION ESCROW,-45550,-335,2021,-45885
031070500,TIF VIL OF RIVER GROVE-BELMONT AVE/THATCHER,-58294,0,2021,-58294
031070503,TIF VIL OF RIVER GROVE-GRAND/THATCHER,-110698,0,2021,-110698
031080000,VILLAGE OF RIVERDALE,-207101,-3689,2021,-210790
031080020,VILLAGE OF RIVERDALE RB,-612,-26,2021,-638
031080021,VILLAGE OF RIVERDALE BOND ESCROW ACCOUNT,-31217,-558,2021,-31775
031080080,VILLAGE OF RIVERDALE FIRE PENSION ESCROW,-15601,-425,2021,-16026
031080085,VILLAGE OF RIVERDALE POLICE PENSION ESCROW,-34834,-718,2021,-35552
031080502,TIF VIL OF RIVERDALE-3,-46594,0,2021,-46594
031090000,VILLAGE OF   RIVERSIDE,-26814,-10373,2021,-37187
031090001,VILLAGE OF RIVERSIDE LIBRARY FUND,-7421,-2982,2021,-10403
031090085,VILLAGE OF RIVERSIDE POLICE PENSION ESCROW,-9172,-3370,2021,-12542
031100000,VILLAGE OF   ROBBINS,-28877,0,2021,-28877
031100020,VILLAGE OF ROBBINS   RB,-210,0,2021,-210
031100023,VILLAGE OF ROBBINS - JAWA BOND ESCROW ACCT,-1756,0,2021,-1756
031100024,VILLAGE OF ROBBINS 2013 BOND ESCORW ACCOUNT,-57,0,2021,-57
031100080,VILLAGE OF ROBBINS FIRE PENSION ESCROW,-558,0,2021,-558
031100085,VILLAGE OF ROBBINS POLICE PENSION ESCROW,-1567,0,2021,-1567
031100500,TIF VIL OF ROBBINS,-10094,0,2021,-10094
031110000,CITY OF   ROLLING MEADOWS,-181498,-6193,2021,-187691
031110001,CITY OF ROLLING MEADOWS LIBRARY FUND,-101436,-3543,2021,-104979
031110020,CITY OF ROLLING MEADOWS   RB,-4431,-259,2021,-4690
031110080,CITY OF ROLLING MEADOWS FIRE PENSION ESCROW,-99920,-3492,2021,-103412
031110085,CITY OF ROLLING MEADOWS POLICE PENSION,-89295,-3173,2021,-92468
031110104,CITY OF ROLLING MEADOWS SPECIAL SERV AREA 5,-206,-1110,2021,-1316
031110503,TIF CITY OF ROLLING MEADOWS-GOLF RD CONSERV,-26490,0,2021,-26490
031120000,VILLAGE OF   ROSELLE,-4571,0,2021,-4571
031120020,VILLAGE OF ROSELLE   RB,-115,0,2021,-115
031120080,VILLAGE OF ROSELLE FIRE PENSION ESCROW,-573,0,2021,-573
031120085,VILLAGE OF ROSELLE POLICE PENSION ESCROW,-1703,0,2021,-1703
031120500,TIF VIL OF ROSELLE-NORTH ROSELLE RD CORRIDOR,-18385,0,2021,-18385
031130000,VILLAGE OF ROSEMONT,-212591,-11574,2021,-224165
031130020,VILLAGE OF ROSEMONT RB,-5337,-56,2021,-5393
031130502,TIF VIL OF ROSEMONT-RIVER RD,-361613,0,2021,-361613
031130503,TIF VIL OF ROSEMONT-SOUTH RIVER RD,-99295,0,2021,-99295
031130504,TIF VIL OF ROSEMONT-5,-24028,0,2021,-24028
031130505,TIF VIL OF ROSEMONT-HIGGINS/RIVER RD 6,-4056,0,2021,-4056
031130506,TIF VIL OF ROSEMONT-HIGGINS/MANNHEIM 7,-858,0,2021,-858
031140000,VILLAGE OF   SAUK VILLAGE,-42245,0,2021,-42245
031140020,VILLAGE OF SAUK VILLAGE   RB,-422,0,2021,-422
031140021,VILLAGE OF SAUK VILLAGE - ESCROW ACCOUNT,-1063,0,2021,-1063
031140080,VILLAGE OF SAUK VILLAGE FIRE PENSION ESCROW,-702,0,2021,-702
031140085,VILLAGE OF SAUK VILLAGE POLICE PENSION,-3897,0,2021,-3897
031140501,TIF VIL OF SAUK VILLAGE-2,-61893,0,2021,-61893
031140502,TIF VIL OF SAUK VILLAGE-3,-124684,0,2021,-124684
031140503,TIF VIL OF SAUK VILLAGE-4,-4461,0,2021,-4461
031150000,VILLAGE OF SCHAUMBURG,-337140,-4484,2021,-341624
031150020,VILLAGE OF SCHAUMBURG RB,-16311,-311,2021,-16622
031150080,VILLAGE OF SCHAUMBURG - FIRE PENSION ESCROW,-131399,-1799,2021,-133198
031150085,VILLAGE OF SCHAUMBURG - POLICE PENSION ESCR,-160458,-2173,2021,-162631
031150502,TIF VIL OF SCHAUMBURG-NORTH SCHAUMBURG,-23588,0,2021,-23588
031160000,VILLAGE OF   SCHILLER PARK,-224219,-98,2021,-224317
031160001,VILLAGE OF SCHILLER PARK LIBRARY FUND,-47560,-21,2021,-47581
031160020,VILLAGE OF SCHILLER PARK   RB,-9749,-4,2021,-9753
031160080,VILLAGE OF SCHILLER PARK FIRE PENSION ESCROW,-55906,-24,2021,-55930
031160085,VILLAGE OF SCHILLER PARK POLICE PENSION,-91294,-40,2021,-91334
031160100,VIL OF SCHILLER PARK SPECIAL SERVICE AREA 1,-1487,0,2021,-1487
031160104,VIL OF SCHILLER PARK SPECIAL SERVICE AREA 9,-241,0,2021,-241
031160500,TIF VIL OF SCHILLER PARK-WEST GATEWAY,-934,0,2021,-934
031160502,TIF VIL OF SCHILLER PARK-LAWRENCE/25TH AVE.,-2659,0,2021,-2659
031170000,VILLAGE OF   SKOKIE,-263112,-16868,2021,-279980
031170001,VILLAGE OF SKOKIE LIBRARY FUND,-250098,-17228,2021,-267326
031170080,VILLAGE OF SKOKIE FIRE PENSION ESCROW,-19118,-2107,2021,-21225
031170085,VILLAGE OF SKOKIE POLICE PENSION ESCROW,-7596,-844,2021,-8440
031170105,VIL OF SKOKIE SPECIAL SERVICE AREA #6,-1956,0,2021,-1956
031170108,VIL OF SKOKIE SPECIAL SERVICE AREA #9,-8616,0,2021,-8616
031170503,TIF VIL OF SKOKIE-DWTWN SCIENCE & TECH,-13803,0,2021,-13803
031170504,TIF VIL OF SKOKIE-WEST DEMPSTER,-22479,0,2021,-22479
031180000,VILLAGE OF   SOUTH BARRINGTON,-22453,-3775,2021,-26228
031180020,VILLAGE OF SOUTH BARRINGTON   RB,-53,0,2021,-53
031180085,VILLAGE OF SOUTH BARRINGTON POLICE PENSION,-10547,-1721,2021,-12268
031180102,VIL OF SOUTH BARRINGTON SPEC SERV AREA #3,-26220,0,2021,-26220
031190000,VILLAGE OF SOUTH CHICAGO HEIGHTS,-68722,0,2021,-68722
031190020,VILLAGE OF SOUTH CHICAGO HEIGHTS RB,-850,0,2021,-850
031190080,VILLAGE OF SOUTH CHICAGO HTS FIRE PENSION,-1002,0,2021,-1002
031190085,VILLAGE OF SO CHICAGO HEIGHTS POLICE PENSION,-8375,0,2021,-8375
031190500,TIF VIL OF SO CHICAGO HTS-CHI RD/SAUK TRAIL,-36367,0,2021,-36367
031190503,TIF VIL OF SOUTH CHICAGO HEIGHTS-4,-11075,0,2021,-11075
031200000,VILLAGE OF   SOUTH HOLLAND,-414432,0,2021,-414432
031200001,VILLAGE OF SOUTH HOLLAND LIBRARY FUND,-79412,0,2021,-79412
031200020,VILLAGE OF SOUTH HOLLAND   RB,-316,0,2021,-316
031200080,VILLAGE OF SOUTH HOLLAND FIRE PENSION ESCROW,-23250,0,2021,-23250
031200085,VILLAGE OF SOUTH HOLLAND POLICE PENSION,-53751,0,2021,-53751
031200500,TIF VIL OF SOUTH HOLLAND-INTERSTATE 80,-8800,0,2021,-8800
031200501,TIF VIL OF SOUTH HOLLAND-ROUTE 6/SOUTH PARK,-59965,0,2021,-59965
031200504,TIF VIL OF SOUTH HOLLAND-DOWNTOWN,-27653,0,2021,-27653
031200506,TIF VIL OF SOUTH HOLLAND-I-94 SOUTH,-11639,0,2021,-11639
031200508,TIF VIL OF SOUTH HOLLAND-GATEWAY WEST,-39536,0,2021,-39536
031210000,VILLAGE OF   STEGER,-16031,-641,2021,-16672
031210020,VILLAGE OF STEGER   RB,-320,-13,2021,-333
031210085,VILLAGE OF STEGER POLICE PENSION ESCROW,-4104,-202,2021,-4306
031210500,TIF VIL OF STEGER,-1643,0,2021,-1643
031210502,TIF VIL OF STEGER-CHICAGO ROAD,-4908,0,2021,-4908
031220000,VILLAGE OF   STICKNEY,-43938,0,2021,-43938
031220020,VILLAGE OF STICKNEY   RB,-340,0,2021,-340
031220085,VILLAGE OF STICKNEY POLICE PENSION ESCROW,-22076,0,2021,-22076
031230000,VILLAGE OF   STONE PARK,-39354,0,2021,-39354
031230021,VILLAGE OF STONE PARK - 2008A,-6330,0,2021,-6330
031230022,VILLAGE OF STONE PARK - 2008C,-5781,0,2021,-5781
031230023,VILLAGE OF STONE PARK - 2009,-5535,0,2021,-5535
031230024,VILLAGE OF STONE PARK 2008B ESCROW,-10197,0,2021,-10197
031230025,VILLAGE OF STONE PARK - 2014A ESCROW,-9912,0,2021,-9912
031230026,VILLAGE OF STONE PARK - 2014B ESCROW,-16721,0,2021,-16721
031230027,VILLAGE OF STONE PARK - 2019A ESCROW,-2149,0,2021,-2149
031230028,VILLAGE OF STONE PARK - 2019B ESCROW,-8984,0,2021,-8984
031230085,VILLAGE OF STONE PARK POLICE PENSION ESCROW,-35488,0,2021,-35488
031230500,TIF VIL OF STONE PARK-NORTH AVE/31ST AVE,-7108,0,2021,-7108
031240000,VILLAGE OF STREAMWOOD,-110932,0,2021,-110932
031240020,VILLAGE OF STREAMWOOD RB,-4828,0,2021,-4828
031240080,VILLAGE OF STREAMWOOD FIRE PENSION ESCROW,-24800,0,2021,-24800
031240085,VILLAGE OF STREAMWOOD POLICE PENSION ESCROW,-37468,0,2021,-37468
031240104,VILLAGE OF STREAMWOOD SPECIAL SERVICE AREA 5,-149,0,2021,-149
031240108,VIL OF STREAMWOOD SPECIAL SERVICE AREA 9,-7,0,2021,-7
031240111,VIL OF STREAMWOOD SPECIAL SERVICE AREA 12,-11,0,2021,-11
031240115,VIL OF STREAMWOOD SPECIAL SERVICE AREA #16,-3,0,2021,-3
031240116,VIL OF STREAMWOOD SPEC SERVICE AREA #17,-4,0,2021,-4
031240118,VIL OF STREAMWOOD SPECIAL SERVICE AREA 19,-6,0,2021,-6
031240120,VIL OF STREAMWOOD SPECIAL SERVICE AREA 21,-15,0,2021,-15
031240121,VIL OF STREAMWOOD SPECIAL SERVICE AREA 22,-116,0,2021,-116
031240123,VIL OF STREAMWOOD SPECIAL SERVICE AREA 24,-8,0,2021,-8
031240124,VIL OF STREAMWOOD SPECIAL SERVICE AREA 25,-4,0,2021,-4
031240125,VIL OF STREAMWOOD SPECIAL SERVICE AREA 26,-15,0,2021,-15
031240500,TIF VIL OF STREAMWOOD-BUTTITTA DR/FRANCIS AV,-34548,0,2021,-34548
031250000,VILLAGE OF   SUMMIT,-74553,0,2021,-74553
031250020,VILLAGE OF SUMMIT   RB,-1013,0,2021,-1013
031250085,VILLAGE OF SUMMIT POLICE PENSION ESCROW,-41134,0,2021,-41134
031250501,TIF VIL OF SUMMIT-63RD ST/ARCHER AVE,-75049,0,2021,-75049
031250504,TIF VIL OF SUMMIT-SOUTH HARLEM AVE,-3834,0,2021,-3834
031260000,VILLAGE OF THORNTON,-58057,0,2021,-58057
031260001,VILLAGE OF THORNTON LIBRARY FUND,-3640,0,2021,-3640
031260020,VILLAGE OF THORNTON   RB,-12,0,2021,-12
031260021,VILLAGE OF THORNTON BOND ESCROW ACCOUNT,-4272,0,2021,-4272
031260502,TIF VIL OF THORNTON-BLACKSTONE,-698,0,2021,-698
031270000,VILLAGE OF   TINLEY PARK,-236853,0,2021,-236853
031270001,VILLAGE OF TINLEY PARK LIBRARY FUND,-61650,0,2021,-61650
031270020,VILLAGE OF TINLEY PARK   RB,-3303,0,2021,-3303
031270085,VILLAGE OF TINLEY PARK POLICE PENSION ESCROW,-32681,0,2021,-32681
031270501,TIF VIL OF TINLEY PARK-MAIN ST NORTH,-17091,0,2021,-17091
031270503,TIF VIL OF TINLEY PARK-MENTAL HEALTH CENTER,-1880,0,2021,-1880
031270504,TIF VIL OF TINLEY PARK-LEGACY,-11497,0,2021,-11497
031270505,TIF VIL OF TINLEY PARK-NEW BREMEN,-2611,0,2021,-2611
031290000,VILLAGE OF   WESTCHESTER,-45542,-170,2021,-45712
031290001,VILLAGE OF WESTCHESTER LIBRARY FUND,-13320,-43,2021,-13363
031290080,VILLAGE OF WESTCHESTER FIRE PENSION ESCROW,-10343,-37,2021,-10380
031290085,VILLAGE OF WESTCHESTER POLICE PENSION ESCROW,-11789,-49,2021,-11838
031300000,VILLAGE OF   WESTERN SPRINGS,-28556,-13523,2021,-42079
031300001,VILLAGE OF WESTERN SPRINGS LIBRARY FUND,-8031,-3959,2021,-11990
031300020,VILLAGE OF WESTERN SPRINGS RB,-750,-316,2021,-1066
031300080,VILLAGE OF WESTERN SPRINGS FIRE PENSION,-43,-21,2021,-64
031300085,VILLAGE OF WESTERN SPRINGS POLICE PENSION,-6603,-3255,2021,-9858
031300500,TIF VIL OF WESTERN SPRINGS-DOWNTOWN SOUTH,-1667,0,2021,-1667
031300501,TIF VIL OF WESTERN SPRINGS-DOWNTOWN NORTH,-151,0,2021,-151
031310000,VILLAGE OF   WHEELING,-255588,0,2021,-255588
031310020,VILLAGE OF WHEELING RB,-1599,0,2021,-1599
031310080,VILLAGE OF WHEELING FIRE PENSION ESCROW,-58276,0,2021,-58276
031310085,VILLAGE OF WHEELING POLICE PENSION ESCROW,-45632,0,2021,-45632
031310502,TIF VIL OF WHEELING-MILWAUKEE/LAKE-COOK,-43550,0,2021,-43550
031310505,TIF VIL OF WHEELING-SOUTHEAST II,-20456,0,2021,-20456
031310506,TIF VIL OF WHEELING-TOWN CENTER II,-66887,0,2021,-66887
031320000,VILLAGE OF   WILLOW SPRINGS,-22231,-620,2021,-22851
031320020,VILLAGE OF WILLOW SPRINGS   RB,-366,-9,2021,-375
031320021,VILLAGE OF WILLOW SPRINGS BOND ESCROW 2016,-825,-23,2021,-848
031320080,VILLAGE OF WILLOW SPRINGS FIRE PENSION,-21,0,2021,-21
031320085,VILLAGE OF WILLOW SPRINGS POLICE PENSION,-6514,-230,2021,-6744
031320500,TIF VIL OF WILLOW SPRINGS-VILLAGE CENTER,-11226,0,2021,-11226
031330000,VILLAGE OF   WILMETTE,-97319,-11445,2021,-108764
031330020,VILLAGE OF WILMETTE   RB,-2,0,2021,-2
031330080,VILLAGE OF WILMETTE FIRE PENSION ESCROW,-17889,-2029,2021,-19918
031330085,VILLAGE OF WILMETTE POLICE PENSION ESCROW,-14304,-1636,2021,-15940
031340000,VILLAGE OF   WINNETKA,-111563,-22537,2021,-134100
031340080,VILLAGE OF WINNETKA FIRE PENSION ESCROW,-17344,-3447,2021,-20791
031340085,VILLAGE OF WINNETKA POLICE PENSION ESCROW,-14781,-2944,2021,-17725
031350000,VILLAGE OF   WORTH,-45761,-1344,2021,-47105
031350020,VILLAGE OF WORTH   RB,-520,-17,2021,-537
031350080,VILLAGE OF WORTH FIRE PENSION ESCROW,-3969,-122,2021,-4091
031350085,VILLAGE OF WORTH POLICE PENSION ESCROW,-27567,-845,2021,-28412
031350501,TIF VIL OF WORTH-111TH ST/TOLL RD,-12381,0,2021,-12381
040030000,SCHOOL DISTRICT C C  15,-2236124,-49698,2021,-2285822
040040000,SCH DIST 21 WHEELING COMM CONSOLIDATED,-1679206,-220875,2021,-1900081
040050000,SCHOOL DIST 23 PROSPECT HEIGHTS,-184117,0,2021,-184117
040070000,SCHOOL DISTRICT 25,-746896,-80338,2021,-827234
040080000,SCHOOL DISTRICT  26,-333208,-1741,2021,-334949
040090000,SCHOOL DISTRICT  27,-383585,-25902,2021,-409487
040100000,SCHOOL DISTRICT  28,-809250,-8467,2021,-817717
040110000,SCHOOL DISTRICT  29,-124563,-7589,2021,-132152
040120000,SCHOOL DISTRICT  30,-378225,-31550,2021,-409775
040130000,SCHOOL DISTRICT  31,-261914,-409362,2021,-671276
040140000,SCHOOL DISTRICT C C  34,-636290,-62852,2021,-699142
040150000,SCH DISTRICT 35,-324963,-21831,2021,-346794
040160000,SCH DISTRICT 36,-425249,-87987,2021,-513236
040170000,SCH DISTRICT 37,-104881,-4782,2021,-109663
040180000,SCH DISTRICT 38,-112230,0,2021,-112230
040190000,SCH DISTRICT 39,-390841,-44170,2021,-435011
040210000,SCHOOL DISTRICT C C  54,-4363045,-39614,2021,-4402659
040220000,SCHOOL DISTRICT  57,-340667,-15650,2021,-356317
040230000,SCHOOL DISTRICT C C  59,-2318134,-4491,2021,-2322625
040240000,SCHOOL DISTRICT C C  62,-1052654,-64959,2021,-1117613
040250000,SCHOOL DISTRICT  63,-509018,-18743,2021,-527761
040260000,SCHOOL DISTRICT C C  64,-783957,-46650,2021,-830607
040270000,SCHOOL DISTRICT C C  65,-1028141,-61762,2021,-1089903
040280000,SCHOOL DISTRICT 67,-113658,0,2021,-113658
040290000,SCHOOL DISTRICT 68,-594939,-20057,2021,-614996
040300000,SCHOOL DISTRICT 69,-371940,-85111,2021,-457051
040310000,SCHOOL DISTRICT 70,-72512,-4921,2021,-77433
040320000,SCHOOL DISTRICT 71,-362564,-3950,2021,-366514
040330000,SCHOOL DISTRICT 72,-293641,0,2021,-293641
040340000,SCHOOL DISTRICT 73,-166028,-5154,2021,-171182
040350000,SCHOOL DISTRICT 73 1/2,-308747,-37507,2021,-346254
040360000,SCHOOL DISTRICT 74,-401938,-16341,2021,-418279
040370000,SCHOOL DISTRICT  78,-125878,0,2021,-125878
040380000,SCHOOL DISTRICT  79,-11174,-484,2021,-11658
040390000,SCHOOL DISTRICT  80,-65141,-765,2021,-65906
040400000,SCHOOL DISTRICT  81,-669509,-292,2021,-669801
040410000,SCHOOL DISTRICT  83,-1215313,-963,2021,-1216276
040420000,SCHOOL DISTRICT  84,-361027,-13329,2021,-374356
040420021,SCHOOL DISTRICT 84 BOND ESCROW RATE,-7641,-402,2021,-8043
040430000,SCHOOL DISTRICT  84 1/2,-254322,-10622,2021,-264944
040430021,SCHOOL DISTRICT 84 1/2 BOND ESCROW ACCOUNT,-4557,-550,2021,-5107
040450000,SCHOOL DISTRICT  85 1/2,-263762,-1082,2021,-264844
040460000,SCHOOL DISTRICT 86,-188125,0,2021,-188125
040470000,SCHOOL DISTRICT 87,-655083,-378,2021,-655461
040480000,SCHOOL DISTRICT 88,-619109,-4329,2021,-623438
040480022,SCHOOL DISTRICT 88 2004 A & B ESCROW ACCOUNT,0,-173,2021,-173
040490000,SCHOOL DISTRICT 89,-271643,-15682,2021,-287325
040500000,SCHOOL DISTRICT 90,-247068,-10962,2021,-258030
040510000,SCHOOL DISTRICT 91,-514287,-4937,2021,-519224
040520000,SCHOOL DISTRICT 92,-354934,-382,2021,-355316
040530000,SCHOOL DISTRICT 92 1/2,-148727,-588,2021,-149315
040540000,SCHOOL DISTRICT 93,-276953,-2684,2021,-279637
040550000,SCHOOL DISTRICT 94,-133612,0,2021,-133612
040560000,SCHOOL DISTRICT 95,-70372,-5123,2021,-75495
040570000,SCHOOL DISTRICT 96,-200120,-60547,2021,-260667
040580000,SCHOOL DISTRICT  97,-844870,-136780,2021,-981650
040590000,SCHOOL DISTRICT  98,-76940,-720,2021,-77660
040600000,SCHOOL DISTRICT  99,-679778,-6634,2021,-686412
040610000,SCHOOL DISTRICT  100,-483268,-10237,2021,-493505
040610021,SCHOOL DISTRICT 100 ESCROW ACCOUNT,-152,-222,2021,-374
040620000,SCHOOL DISTRICT  101,-83684,-48762,2021,-132446
040630000,SCHOOL DISTRICT  102,-574064,-1130,2021,-575194
040640000,SCHOOL DISTRICT  103,-1009403,-8720,2021,-1018123
040650000,SCHOOL DISTRICT  104,-633047,0,2021,-633047
040660000,SCHOOL DISTRICT  105,-772737,-23079,2021,-795816
040670000,SCHOOL DISTRICT  106,-137955,-10509,2021,-148464
040680000,SCHOOL DISTRICT  107,-203777,-3338,2021,-207115
040690000,SCHOOL DISTRICT C C  108,-97024,-3564,2021,-100588
040700000,SCHOOL DISTRICT  109,-620025,-5881,2021,-625906
040710000,SCHOOL DISTRICT  110,-153765,0,2021,-153765
040720000,SCHOOL DISTRICT  111,-1598668,-3990,2021,-1602658
040740000,COMBINED SCHOOL DISTRICT C.C NO.113A,-354898,-2420,2021,-357318
040750000,SCHOOL DISTRICT  117,-942834,-5144,2021,-947978
040760000,SCHOOL DISTRICT C C  118,-465556,-11142,2021,-476698
040770000,SCHOOL DISTRICT  122,-767562,-25079,2021,-792641
040780000,SCHOOL DISTRICT  123,-808762,-57530,2021,-866292
040790000,SCHOOL DISTRICT  124,-546687,-25026,2021,-571713
040800000,SCHOOL DISTRICT  125,-143436,0,2021,-143436
040810000,SCHOOL DISTRICT  126,-849265,-10889,2021,-860154
040820000,SCHOOL DISTRICT  127,-233002,-6117,2021,-239119
040830000,SCHOOL DISTRICT  127 1/2,-48099,-741,2021,-48840
040830001,SD 122 BOND/PART ANNEXED BY SD 127 1/2 2010,-7,-0,2021,-7
040840000,SCHOOL DISTRICT  128,-235788,-14422,2021,-250210
040850000,SCHOOL DISTRICT  130,-1517724,-64827,2021,-1582551
040860000,SCHOOL DISTRICT  132,-175486,0,2021,-175486
040870000,SCHOOL DISTRICT #133,-93814,-4184,2021,-97998
040870021,SCHOOL DISTRICT 133 - ESCROW ACCOUNT,-14675,-619,2021,-15294
040880000,SCHOOL DISTRICT  135,-1563310,-49413,2021,-1612723
040920000,SCHOOL DISTRICT  140,-364705,0,2021,-364705
040930000,SCHOOL DISTRICT  142,-234744,-1825,2021,-236569
040940000,SCHOOL DISTRICT  143,-652772,-4993,2021,-657765
040950000,SCHOOL DISTRICT  143 1/2,-123995,-4475,2021,-128470
040960000,SCHOOL DISTRICT  144,-469992,-3209,2021,-473201
040970000,SCHOOL DISTRICT 145,-238807,-6202,2021,-245009
040980000,SCHOOL DISTRICT C C  146,-960634,-4769,2021,-965403
040990000,SCHOOL DISTRICT  147,-138837,-1286,2021,-140123
040990021,SCHOOL DISTRICT 147 ESCROW ACCOUNT,-8752,-183,2021,-8935
041000000,SCHOOL DISTRICT  148,-516872,-1160,2021,-518032
041010000,SCHOOL DISTRICT  149,-529065,-7969,2021,-537034
041020000,SCHOOL DISTRICT  150,-77272,-229,2021,-77501
041020021,SCHOOL DISTRICT 150 BOND ESCROW ACCOUNT,-3922,-11,2021,-3933
041030000,SCHOOL DISTRICT  151,-594704,0,2021,-594704
041040000,SCHOOL DISTRICT  152,-286917,-5401,2021,-292318
041040021,SCHOOL DISTRICT 152 ESCROW ACCOUNT,-1048,0,2021,-1048
041050000,SCHOOL DISTRICT  152 1/2,-372805,-26882,2021,-399687
