keypin_concat,pins,has_range,pins2,pins3,check_me,Alea_added
1.70831E+13,17-08-311-002-0000,0,17-08-311-002-0000,17-08-311-002-0000,0,
1.70841E+13,17-08-410-015-0000,0,17-08-410-015-0000,17-08-410-015-0000,0,
1.70842E+13,"17-08-420-001-0000, 17-08-420-002-0000",0,17-08-420-001-0000,17-08-420-001-0000,0,
1.70842E+13,"17-08-420-001-0000, 17-08-420-002-0000",0,17-08-420-002-0000,17-08-420-002-0000,0,
1.70842E+13,17-08-423-002-0000,0,17-08-423-002-0000,17-08-423-002-0000,0,
1.70843E+13,17-08-432-002-0000,0,17-08-432-002-0000,17-08-432-002-0000,0,
1.70843E+13,17-08-432-008-0000,0,17-08-432-008-0000,17-08-432-008-0000,0,
1.70843E+13,17-08-432-009-0000,0,17-08-432-009-0000,17-08-432-009-0000,0,
1.70843E+13,17-08-432-010-0000,0,17-08-432-010-0000,17-08-432-010-0000,0,
1.70843E+13,17-08-432-015-0000,0,17-08-432-015-0000,17-08-432-015-0000,0,
1.70844E+13,17-08-440-003-0000,0,17-08-440-003-0000,17-08-440-003-0000,0,
1.7091E+13,17-09-101-006-0000 thru 17-09-101-008-0000,1,17-09-101-006-0000 thru 17-09-101-008-0000,17-09-101-007-0000,1,1
1.7091E+13,17-09-101-006-0000 thru 17-09-101-008-0000,1,17-09-101-006-0000 thru 17-09-101-008-0000,thru,1,
1.7091E+13,17-09-101-006-0000 thru 17-09-101-008-0000,1,17-09-101-006-0000 thru 17-09-101-008-0000,17-09-101-006-0000,0,
1.7091E+13,17-09-101-006-0000 thru 17-09-101-008-0000,1,17-09-101-006-0000 thru 17-09-101-008-0000,17-09-101-008-0000,0,
1.7091E+13,"17-09-101-013-0000, -017",0,-17,-17,1,
1.7091E+13,"17-09-101-013-0000, -017",0,-17,17-09-101-017-0000,1,1
1.7091E+13,"17-09-101-013-0000, -017",0,17-09-101-013-0000,17-09-101-013-0000,0,
1.70923E+13,"17-09-226-008-0000, 17-09-226-014-0000",0,17-09-226-008-0000,17-09-226-008-0000,0,
1.70923E+13,"17-09-226-008-0000, 17-09-226-014-0000",0,17-09-226-014-0000,17-09-226-014-0000,0,
1.70925E+13,17-09-254-009-0000,0,17-09-254-009-0000,17-09-254-009-0000,0,
1.70932E+13,17-09-316-002-0000,0,17-09-316-002-0000,17-09-316-002-0000,0,
1.71013E+13,"17-10-133-004-0000, 17-10-137-003-0000, 17-10-137-004-0000",0,17-10-133-004-0000,17-10-133-004-0000,0,
1.71013E+13,"17-10-133-004-0000, 17-10-137-003-0000, 17-10-137-004-0000",0,17-10-137-003-0000,17-10-137-003-0000,0,
1.71013E+13,"17-10-133-004-0000, 17-10-137-003-0000, 17-10-137-004-0000",0,17-10-137-004-0000,17-10-137-004-0000,0,
1.71014E+13,"17-10-135-042-0000, 17-10-135-043-0000",0,17-10-135-042-0000,17-10-135-042-0000,0,
1.71014E+13,"17-10-135-042-0000, 17-10-135-043-0000",0,17-10-135-043-0000,17-10-135-043-0000,0,
1.71014E+13,"17-10-135-044-0000, 17-10-135-045-0000",0,17-10-135-044-0000,17-10-135-044-0000,0,
1.71014E+13,"17-10-135-044-0000, 17-10-135-045-0000",0,17-10-135-045-0000,17-10-135-045-0000,0,
1.7103E+13,"17-10-301-001-0000, 17-10-301-003-0000",0,17-10-301-001-0000,17-10-301-001-0000,0,
1.7103E+13,"17-10-301-001-0000, 17-10-301-003-0000",0,17-10-301-003-0000,17-10-301-003-0000,0,
1.7103E+13,"17-10-301-006-0000, 17-10-301-007-0000, 17-10-301-008-0000",0,17-10-301-006-0000,17-10-301-006-0000,0,
1.7103E+13,"17-10-301-006-0000, 17-10-301-007-0000, 17-10-301-008-0000",0,17-10-301-007-0000,17-10-301-007-0000,0,
1.7103E+13,"17-10-301-006-0000, 17-10-301-007-0000, 17-10-301-008-0000",0,17-10-301-008-0000,17-10-301-008-0000,0,
1.7103E+13,17-10-303-007-0000,0,17-10-303-007-0000,17-10-303-007-0000,0,
1.71031E+13,"17-10-311-002-0000, 17-10-311-004-0000, 17-10-311-005-0000, 17-10-311-010-0000, 17-10-311-014-0000",0,17-10-311-002-0000,17-10-311-002-0000,0,
1.71031E+13,"17-10-311-002-0000, 17-10-311-004-0000, 17-10-311-005-0000, 17-10-311-010-0000, 17-10-311-014-0000",0,17-10-311-004-0000,17-10-311-004-0000,0,
1.71031E+13,"17-10-311-002-0000, 17-10-311-004-0000, 17-10-311-005-0000, 17-10-311-010-0000, 17-10-311-014-0000",0,17-10-311-005-0000,17-10-311-005-0000,0,
1.71031E+13,"17-10-311-002-0000, 17-10-311-004-0000, 17-10-311-005-0000, 17-10-311-010-0000, 17-10-311-014-0000",0,17-10-311-010-0000,17-10-311-010-0000,0,
1.71031E+13,"17-10-311-002-0000, 17-10-311-004-0000, 17-10-311-005-0000, 17-10-311-010-0000, 17-10-311-014-0000",0,17-10-311-014-0000,17-10-311-014-0000,0,
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,thru,1,
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-016-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-017-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-019-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-020-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-021-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-022-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-023-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-024-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-025-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-026-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-027-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-028-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-029-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-030-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-031-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-032-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-033-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-034-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-035-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-036-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-037-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-038-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-039-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-040-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-041-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-042-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-043-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-044-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-045-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-046-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-047-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-048-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-049-0000,1,1
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-015-0000,0,
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-050-0000,0,
1.71031E+13,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,1,17-10-311-015-0000 thru 17-10-311-050-0000 17-10-311-059-0000,17-10-311-059-0000,0,
1.7151E+13,"17-15-101-008-0000, 17-15-101-010-0000",0,17-15-101-008-0000,17-15-101-008-0000,0,
1.7151E+13,"17-15-101-008-0000, 17-15-101-010-0000",0,17-15-101-010-0000,17-15-101-010-0000,0,
1.7151E+13,"17-15-102-014-0000, 17-15-102-015-0000, 17-15-102-016-0000, 17-15-102-017-0000, 17-15-102-023-0000",0,17-15-102-014-0000,17-15-102-014-0000,0,
1.7151E+13,"17-15-102-014-0000, 17-15-102-015-0000, 17-15-102-016-0000, 17-15-102-017-0000, 17-15-102-023-0000",0,17-15-102-015-0000,17-15-102-015-0000,0,
1.7151E+13,"17-15-102-014-0000, 17-15-102-015-0000, 17-15-102-016-0000, 17-15-102-017-0000, 17-15-102-023-0000",0,17-15-102-016-0000,17-15-102-016-0000,0,
1.7151E+13,"17-15-102-014-0000, 17-15-102-015-0000, 17-15-102-016-0000, 17-15-102-017-0000, 17-15-102-023-0000",0,17-15-102-017-0000,17-15-102-017-0000,0,
1.7151E+13,"17-15-102-014-0000, 17-15-102-015-0000, 17-15-102-016-0000, 17-15-102-017-0000, 17-15-102-023-0000",0,17-15-102-023-0000,17-15-102-023-0000,0,
1.7151E+13,"17-15-102-018-0000, 17-15-102-019-0000, 17-15-102-020-0000, 17-15-102-021-0000, 17-15-102-022-0000",0,17-15-102-018-0000,17-15-102-018-0000,0,
1.7151E+13,"17-15-102-018-0000, 17-15-102-019-0000, 17-15-102-020-0000, 17-15-102-021-0000, 17-15-102-022-0000",0,17-15-102-019-0000,17-15-102-019-0000,0,
1.7151E+13,"17-15-102-018-0000, 17-15-102-019-0000, 17-15-102-020-0000, 17-15-102-021-0000, 17-15-102-022-0000",0,17-15-102-020-0000,17-15-102-020-0000,0,
1.7151E+13,"17-15-102-018-0000, 17-15-102-019-0000, 17-15-102-020-0000, 17-15-102-021-0000, 17-15-102-022-0000",0,17-15-102-021-0000,17-15-102-021-0000,0,
1.7151E+13,"17-15-102-018-0000, 17-15-102-019-0000, 17-15-102-020-0000, 17-15-102-021-0000, 17-15-102-022-0000",0,17-15-102-022-0000,17-15-102-022-0000,0,
1.7162E+13,"17-16-204-035-0000, 17-16-204-036-0000",0,17-16-204-035-0000,17-16-204-035-0000,0,
1.7162E+13,"17-16-204-035-0000, 17-16-204-036-0000",0,17-16-204-036-0000,17-16-204-036-0000,0,
1.7162E+13,"17-16-204-037-0000, 17-16-204-043-0000",0,17-16-204-037-0000,17-16-204-037-0000,0,
1.7162E+13,"17-16-204-037-0000, 17-16-204-043-0000",0,17-16-204-043-0000,17-16-204-043-0000,0,
1.7162E+13,17-16-204-042-0000,0,17-16-204-042-0000,17-16-204-042-0000,0,
1.71621E+13,17-16-206-017-0000,0,17-16-206-017-0000,17-16-206-017-0000,0,
1.71621E+13,17-16-208-015-0000,0,17-16-208-015-0000,17-16-208-015-0000,0,
1.71622E+13,"17-16-220-003-0000, 17-16-220-004-0000, 17-16-220-005-0000, 17-16-220-006-0000, 17-16-220-007-0000, 17-16-220-008-0000",0,17-16-220-003-0000,17-16-220-003-0000,0,
1.71622E+13,"17-16-220-003-0000, 17-16-220-004-0000, 17-16-220-005-0000, 17-16-220-006-0000, 17-16-220-007-0000, 17-16-220-008-0000",0,17-16-220-004-0000,17-16-220-004-0000,0,
1.71622E+13,"17-16-220-003-0000, 17-16-220-004-0000, 17-16-220-005-0000, 17-16-220-006-0000, 17-16-220-007-0000, 17-16-220-008-0000",0,17-16-220-005-0000,17-16-220-005-0000,0,
1.71622E+13,"17-16-220-003-0000, 17-16-220-004-0000, 17-16-220-005-0000, 17-16-220-006-0000, 17-16-220-007-0000, 17-16-220-008-0000",0,17-16-220-006-0000,17-16-220-006-0000,0,
1.71622E+13,"17-16-220-003-0000, 17-16-220-004-0000, 17-16-220-005-0000, 17-16-220-006-0000, 17-16-220-007-0000, 17-16-220-008-0000",0,17-16-220-007-0000,17-16-220-007-0000,0,
1.71622E+13,"17-16-220-003-0000, 17-16-220-004-0000, 17-16-220-005-0000, 17-16-220-006-0000, 17-16-220-007-0000, 17-16-220-008-0000",0,17-16-220-008-0000,17-16-220-008-0000,0,
1.71622E+13,"17-16-220-009-0000, 17-16-220-010-0000, 17-16-220-014-0000, 17-16-220-016-0000, 17-16-220-017-0000, 17-16-220-019-0000",0,17-16-220-009-0000,17-16-220-009-0000,0,
1.71622E+13,"17-16-220-009-0000, 17-16-220-010-0000, 17-16-220-014-0000, 17-16-220-016-0000, 17-16-220-017-0000, 17-16-220-019-0000",0,17-16-220-010-0000,17-16-220-010-0000,0,
1.71622E+13,"17-16-220-009-0000, 17-16-220-010-0000, 17-16-220-014-0000, 17-16-220-016-0000, 17-16-220-017-0000, 17-16-220-019-0000",0,17-16-220-014-0000,17-16-220-014-0000,0,
1.71622E+13,"17-16-220-009-0000, 17-16-220-010-0000, 17-16-220-014-0000, 17-16-220-016-0000, 17-16-220-017-0000, 17-16-220-019-0000",0,17-16-220-016-0000,17-16-220-016-0000,0,
1.71622E+13,"17-16-220-009-0000, 17-16-220-010-0000, 17-16-220-014-0000, 17-16-220-016-0000, 17-16-220-017-0000, 17-16-220-019-0000",0,17-16-220-017-0000,17-16-220-017-0000,0,
1.71622E+13,"17-16-220-009-0000, 17-16-220-010-0000, 17-16-220-014-0000, 17-16-220-016-0000, 17-16-220-017-0000, 17-16-220-019-0000",0,17-16-220-019-0000,17-16-220-019-0000,0,
1.71622E+13,17-16-220-018-0000,0,17-16-220-018-0000,17-16-220-018-0000,0,
1.71633E+13,"17-16-325-019-0000, 17-16-333-029-0000, 17-16-333-035-0000, 17-16-333-036-0000",0,17-16-325-019-0000,17-16-325-019-0000,0,
1.71633E+13,"17-16-325-019-0000, 17-16-333-029-0000, 17-16-333-035-0000, 17-16-333-036-0000",0,17-16-333-029-0000,17-16-333-029-0000,0,
1.71633E+13,"17-16-325-019-0000, 17-16-333-029-0000, 17-16-333-035-0000, 17-16-333-036-0000",0,17-16-333-035-0000,17-16-333-035-0000,0,
1.71633E+13,"17-16-325-019-0000, 17-16-333-029-0000, 17-16-333-035-0000, 17-16-333-036-0000",0,17-16-333-036-0000,17-16-333-036-0000,0,
1.7172E+13,"17-17-203-012-0000, 17-17-203-013-0000",0,17-17-203-012-0000,17-17-203-012-0000,0,
1.7172E+13,"17-17-203-012-0000, 17-17-203-013-0000",0,17-17-203-013-0000,17-17-203-013-0000,0,
1.72044E+13,17-20-440-008-0000,0,17-20-440-008-0000,17-20-440-008-0000,0,
1.72131E+13,"17-21-307-084-0000, 17-21-307-092-0000,, 17-21-307-093-0000",0,17-21-307-084-0000,17-21-307-084-0000,0,
1.72131E+13,"17-21-307-084-0000, 17-21-307-092-0000,, 17-21-307-093-0000",0,17-21-307-092-0000,17-21-307-092-0000,0,
1.72131E+13,"17-21-307-084-0000, 17-21-307-092-0000,, 17-21-307-093-0000",0,17-21-307-093-0000,17-21-307-093-0000,0,
1.72131E+13,17-21-307-087-0000,0,17-21-307-087-0000,17-21-307-087-0000,0,
1.72133E+13,17-21-327-012-0000,0,17-21-327-012-0000,17-21-327-012-0000,0,
1.7292E+13,"17-29-202-004-0000, 005, 006, 040, 044, 17-29-203-022-0000",0,5,17-29-202-005-0000,1,1
1.7292E+13,"17-29-202-004-0000, 005, 006, 040, 044, 17-29-203-022-0000",0,6,17-29-202-005-0000,1,1
1.7292E+13,"17-29-202-004-0000, 005, 006, 040, 044, 17-29-203-022-0000",0,40,17-29-202-040-0000,1,1
1.7292E+13,"17-29-202-004-0000, 005, 006, 040, 044, 17-29-203-022-0000",0,44,17-29-202-044-0000,1,1
1.7292E+13,"17-29-202-004-0000, 005, 006, 040, 044, 17-29-203-022-0000",0,17-29-202-004-0000,17-29-202-004-0000,0,
1.7292E+13,"17-29-202-004-0000, 005, 006, 040, 044, 17-29-203-022-0000",0,17-29-203-022-0000,17-29-203-022-0000,0,
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-010-0000 thru -013,17-29-202-011-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-010-0000 thru -013,17-29-202-012-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-010-0000 thru -013,17-29-202-013-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-029-0000 thru -032,17-29-202-030-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-029-0000 thru -032,17-29-202-031-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-029-0000 thru -032,17-29-202-032-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,-75,17-29-202-034-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,-75,17-29-202-041-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,-45,17-29-202-045-0000,1,1
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-010-0000 thru -013,17-29-202-010-0000,0,
1.7292E+13,"17-29-202-010-0000 thru -013, 17-29-202-029-0000 thru -032, -034 -041, -045.",1,17-29-202-029-0000 thru -032,17-29-202-029-0000,0,
1.73021E+13,"17-30-208-005-0000, 17-30-208-006-0000",0,17-30-208-005-0000,17-30-208-005-0000,0,
1.73021E+13,"17-30-208-005-0000, 17-30-208-006-0000",0,17-30-208-006-0000,17-30-208-006-0000,0,
1.73021E+13,"17-30-209-013-0000, 17-30-209-014-0000",0,17-30-209-013-0000,17-30-209-013-0000,0,
1.73021E+13,"17-30-209-013-0000, 17-30-209-014-0000",0,17-30-209-014-0000,17-30-209-014-0000,0,
1.73021E+13,"17-30-210-017-0000, 17-30-210-027-0000",0,17-30-210-017-0000,17-30-210-017-0000,0,
1.73021E+13,"17-30-210-017-0000, 17-30-210-027-0000",0,17-30-210-027-0000,17-30-210-027-0000,0,
1.7303E+13,"17-30-300-036-0000 thru 17-30-300-039-0000, 17-30-300-042-0000 17-30-300-043-0000",1,17-30-300-036-0000 thru 17-30-300-039-0000,17-30-300-037-000,1,1
1.7303E+13,"17-30-300-036-0000 thru 17-30-300-039-0000, 17-30-300-042-0000 17-30-300-043-0000",1,17-30-300-036-0000 thru 17-30-300-039-0000,17-30-300-038-000,1,1
1.7303E+13,"17-30-300-036-0000 thru 17-30-300-039-0000, 17-30-300-042-0000 17-30-300-043-0000",1,17-30-300-036-0000 thru 17-30-300-039-0000,thru,1,1
1.7303E+13,"17-30-300-036-0000 thru 17-30-300-039-0000, 17-30-300-042-0000 17-30-300-043-0000",1,17-30-300-036-0000 thru 17-30-300-039-0000,17-30-300-036-0000,0,
1.7303E+13,"17-30-300-036-0000 thru 17-30-300-039-0000, 17-30-300-042-0000 17-30-300-043-0000",1,17-30-300-036-0000 thru 17-30-300-039-0000,17-30-300-039-0000,0,
1.7303E+13,"17-30-300-036-0000 thru 17-30-300-039-0000, 17-30-300-042-0000 17-30-300-043-0000",1,17-30-300-042-0000 17-30-300-043-0000,17-30-300-042-0000,0,
1.7303E+13,"17-30-300-036-0000 thru 17-30-300-039-0000, 17-30-300-042-0000 17-30-300-043-0000",1,17-30-300-042-0000 17-30-300-043-0000,17-30-300-043-0000,0,
1.7303E+13,17-30-300-064-0000,0,17-30-300-064-0000,17-30-300-064-0000,0,
1.7304E+13,"17-30-400-020-0000, 17-30-401-023-0000",0,17-30-400-020-0000,17-30-400-020-0000,0,
1.7304E+13,"17-30-400-020-0000, 17-30-401-023-0000",0,17-30-401-023-0000,17-30-401-023-0000,0,
1.7304E+13,"17-30-401-023-0000, 17-30-400-020-0000",0,17-30-401-023-0000,17-30-401-023-0000,0,
1.7304E+13,"17-30-401-023-0000, 17-30-400-020-0000",0,17-30-400-020-0000,17-30-400-020-0000,0,
1.7311E+13,"17-31-101-016-0000, 17-31-108-028-0000",0,17-31-101-016-0000,17-31-101-016-0000,0,
1.7311E+13,"17-31-101-016-0000, 17-31-108-028-0000",0,17-31-108-028-0000,17-31-108-028-0000,0,
1.73131E+13,"17-31-310-011-0000, 17-31-310-012-0000, 17-31-310-013-0000",0,17-31-310-011-0000,17-31-310-011-0000,0,
1.73131E+13,"17-31-310-011-0000, 17-31-310-012-0000, 17-31-310-013-0000",0,17-31-310-012-0000,17-31-310-012-0000,0,
1.73131E+13,"17-31-310-011-0000, 17-31-310-012-0000, 17-31-310-013-0000",0,17-31-310-013-0000,17-31-310-013-0000,0,
1.73141E+13,17-31-405-003-0000,0,17-31-405-003-0000,17-31-405-003-0000,0,
1.73223E+13,17-32-225-041-0000,0,17-32-225-041-0000,17-32-225-041-0000,0,
1.73242E+13,17-32-421-007-0000,0,17-32-421-007-0000,17-32-421-007-0000,0,
1.80132E+13,"18-01-322-009-0000, 18-01-322-010-0000",0,18-01-322-009-0000,18-01-322-009-0000,0,
1.80132E+13,"18-01-322-009-0000, 18-01-322-010-0000",0,18-01-322-010-0000,18-01-322-010-0000,0,
1.8042E+13,"18-04-200-017-0000, 18-04-200-036-0000, 18-04-200-037-0000",0,18-04-200-017-0000,18-04-200-017-0000,0,
1.8042E+13,"18-04-200-017-0000, 18-04-200-036-0000, 18-04-200-037-0000",0,18-04-200-036-0000,18-04-200-036-0000,0,
1.8042E+13,"18-04-200-017-0000, 18-04-200-036-0000, 18-04-200-037-0000",0,18-04-200-037-0000,18-04-200-037-0000,0,
1.80942E+13,"18-09-416-034-0000, 18-09-416-035-0000",0,18-09-416-034-0000,18-09-416-034-0000,0,
1.80942E+13,"18-09-416-034-0000, 18-09-416-035-0000",0,18-09-416-035-0000,18-09-416-035-0000,0,
1.80942E+13,"18-09-417-001-0000, 18-09-417-002-0000",0,18-09-417-001-0000,18-09-417-001-0000,0,
1.80942E+13,"18-09-417-001-0000, 18-09-417-002-0000",0,18-09-417-002-0000,18-09-417-002-0000,0,
1.80942E+13,"18-09-418-004-0000, 18-09-418-005-0000, 18-09-418-007-0000",0,18-09-418-004-0000,18-09-418-004-0000,0,
1.80942E+13,"18-09-418-004-0000, 18-09-418-005-0000, 18-09-418-007-0000",0,18-09-418-005-0000,18-09-418-005-0000,0,
1.80942E+13,"18-09-418-004-0000, 18-09-418-005-0000, 18-09-418-007-0000",0,18-09-418-007-0000,18-09-418-007-0000,0,
1.8102E+13,"18-10-200-023-0000, 18-11-136-005-0000",0,18-10-200-023-0000,18-10-200-023-0000,0,
1.8102E+13,"18-10-200-023-0000, 18-11-136-005-0000",0,18-11-136-005-0000,18-11-136-005-0000,0,
1.8102E+13,"18-10-203-005-0000, 18-11-134-003-0000",0,18-10-203-005-0000,18-10-203-005-0000,0,
1.8102E+13,"18-10-203-005-0000, 18-11-134-003-0000",0,18-11-134-003-0000,18-11-134-003-0000,0,
1.8103E+13,"18-10-300-017-0000, 18-10-300-018-0000",0,18-10-300-017-0000,18-10-300-017-0000,0,
1.8103E+13,"18-10-300-017-0000, 18-10-300-018-0000",0,18-10-300-018-0000,18-10-300-018-0000,0,
1.81321E+13,18-13-207-019-0000,0,18-13-207-019-0000,18-13-207-019-0000,0,
1.8193E+13,"18-19-300-026-0000, 18-19-300-029-0000",0,18-19-300-026-0000,18-19-300-026-0000,0,
