agency_number,agency_name,refunded_sp_ptab,refunded_coe,year,total_refunds,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,pct_inCook,refund_levyshare
030140103,VILLAGE OF BROOKFIELD SPECIAL SERVICE AREA 4,-237,0,2022,-237,1,NA,NA,NA,NA,19019187,0,18774266,18774266,1,0,0,0,NA,0,0,NA,NA,NA,0,1,Inf
030140104,VILLAGE OF BROOKFIELD SPECIAL SERVICE AREA 5,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030140105,VIL OF BROOKFIELD SPEC SERVICE AREA 6,0,0,2022,0,1,NA,NA,NA,NA,4610266,0,4487643,4487643,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
030140106,VIL OF BROOKFIELD SPECIAL SERVICE AREA #7,0,0,2022,0,1,NA,NA,NA,NA,7072139,0,6927304,6927304,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
030140500,TIF VIL OF BROOKFIELD-OGDEN AVE,-12867,0,2022,-12867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030140502,TIF VIL OF BROOKFIELD-8 CORNERS,-9657,0,2022,-9657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030140503,TIF VIL OF BROOKFIELD-GRAND BLVD,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030150000,VILLAGE OF BUFFALO GROVE,-18716,0,2022,-18716,1,NA,NA,NA,NA,353177975,109364,404178690,1821530290,0.26030000000000003,17115540,17115540,0.94,NA,4455173,1.103,NA,NA,NA,4458090.95,0.222,0.004
030150020,VILLAGE OF BUFFALO GROVE   RB,-161,0,2022,-161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030150080,VILLAGE OF BUFFALO GROVE FIRE PENSION ESCROW,-3216,0,2022,-3216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030150085,VILLAGE OF BUFFALO GROVE POLICE PENSION,-4656,0,2022,-4656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030150100,VILLAGE OF BUFFALO GROVE SPEC SERVICE AREA 1,0,0,2022,0,1,NA,NA,NA,NA,1376,0,1340,1340,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
030150101,VILLAGE OF BUFFALO GROVE SPEC SERVICE AREA 2,0,0,2022,0,1,NA,NA,NA,NA,1170722,0,1373463,1373463,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
030150102,VILLAGE OF BUFFALO GROVE SPEC SERVICE AREA 3,0,0,2022,0,1,NA,NA,NA,NA,4312,0,4199,4199,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
030150500,TIF VIL OF BUFFALO GROVE-LAKE COOK ROAD,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160000,CITY OF   BURBANK,-100802,-602,2022,-101404,1,NA,NA,NA,NA,499965488,913645,491010611,491010611,1,7899155,7899155,1.609,NA,7899155,1.609,NA,NA,NA,7900360.73,1,0.013
030160002,CITY OF BURBANK BOND,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160020,CITY OF BURBANK   RB,-2238,-13,2022,-2251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160021,CITY OF BURBANK ESCROW ACCOUNT,-92405,-565,2022,-92970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160100,CITY OF BURBANK SPECIAL SERVICE AREA 1,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160101,CITY OF BURBANK SPECIAL SERVICE AREA 2,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160102,CITY OF BURBANK SPECIAL SERVICE AREA NO. 3,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160103,CITY OF BURBANK SPECIAL SERVICE AREA 4,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160104,CITY OF BURBANK SPECIAL SERVICE AREA 5,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160105,CITY OF BURBANK SPECIAL SERVICE AREA 6,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160106,CITY OF BURBANK SPECIAL SERVICE AREA 7,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160107,CITY OF BURBANK SPECIAL SERVICE AREA 8,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160108,CITY OF BURBANK SPECIAL SERVICE AREA 9,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160109,CITY OF BURBANK SPECIAL SERVICE AREA 10,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160110,CITY OF BURBANK SPECIAL SERVICE AREA 11,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160111,CITY OF BURBANK SPECIAL SERVICE AREA 12,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160112,CITY OF BURBANK SPECIAL SERVICE AREA 13,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160113,CITY OF BURBANK SPECIAL SERVICE AREA 14,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160114,CITY OF BURBANK SPECIAL SERVICE AREA 15,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160115,CITY OF BURBANK SPECIAL SERVICE AREA 16,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160116,CITY OF BURBANK SPECIAL SERVICE AREA 18,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160117,CITY OF BURBANK SPECIAL SERVICE AREA 19,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160118,CITY OF BURBANK SPECIAL SERVICE AREA 20,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160119,CITY OF BURBANK SPECIAL SERVICE AREA 21,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160120,CITY OF BURBANK SPEC SERV AREA 22,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160121,CITY OF BURBANK SPECIAL SERVICE AREA 23,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160122,CITY OF BURBANK SPECIAL SERVICE AREA 24,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160123,CITY OF BURBANK SPEC SERV AREA 26,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160124,CITY OF BURBANK SPEC SERV AREA 27,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160125,CITY OF BURBANK SPECIAL SERVICE AREA 28,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160126,CITY OF BURBANK SPECIAL SERVICE AREA #30,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160127,CITY OF BURBANK SPECIAL SERVICE AREA #33,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160128,CITY OF BURBANK SPECIAL SERVICE AREA #36,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160129,CITY OF BURBANK SPECIAL SERVICE AREA 37,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160130,CITY OF BURBANK SPECIAL SERVICE AREA 38,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160131,CITY OF BURBANK SPECIAL SERVICE AREA #39,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160132,CITY OF BURBANK SPECIAL SERVICE AREA #40,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160133,CITY OF BURBANK SPECIAL SERVICE AREA #41,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160134,CITY OF BURBANK SPECIAL SERVICE AREA 42,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160135,CITY OF BURBANK SPECIAL SERVICE AREA 43,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160136,CITY OF BURBANK SPECIAL SERVICE AREA 44,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160137,CITY OF BURBANK SPECIAL SERVICE AREA 45,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160141,CITY OF BURBANK SPECIAL SERVICE AREA #49,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160142,CITY OF BURBANK SPECIAL SERVICE AREA #50,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160143,CITY OF BURBANK SPEC SERV AREA #51,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160144,CITY OF BURBANK SPEC SERV AREA #52,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160145,CITY OF BURBANK SPEC SERV AREA #53,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160500,TIF CITY OF BURBANK,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160501,TIF CITY OF BURBANK-DOWNTOWN BURBANK,-15668,0,2022,-15668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030160504,TIF CITY OF BURBANK-EAST 79TH ST,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030170000,VILLAGE OF   BURNHAM,-148723,0,2022,-148723,1,NA,NA,NA,NA,47845409,0,47469202,47469202,1,4344540,4344540,9.153,NA,4344540,9.153,NA,NA,NA,4344856.06,1,0.034
030170020,VILLAGE OF BURNHAM   RB,-31,0,2022,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030170085,VILLAGE OF BURNHAM POLICE PENSION ESCROW,-27289,0,2022,-27289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180000,VILLAGE OF BURR RIDGE,-3837,-154,2022,-3991,0,2021,1398785,1239871638,0.113,434658691,4936936,426146855,1247884204,0.3833,1410274,1410274,0.113,NA,540558,0.127,NA,NA,11932.11,541206.51,0.341,0.007
030180020,VILLAGE OF BURR RIDGE RB,-1837,-76,2022,-1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180085,VILLAGE OF BURR RIDGE POLICE PENSION ESCROW,-5878,-271,2022,-6149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180100,VILLAGE OF BURR RIDGE SPEC SERV AREA 3,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180101,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 4,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180102,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 5,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180103,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 6,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180104,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 7,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180105,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 8,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180106,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 9,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180107,VILLAGE OF BURR RIDGE SPECIAL SERV AREA 10,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180108,VILLAGE OF BURR RIDGE SPECIAL SERV AREA 11,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180109,VILLAGE OF BURR RIDGE SPECIAL SERV AREA 16,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030180500,TIF VIL OF BURR RIDGE-BURR RIDGE PARKWAY,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190000,CITY OF   CALUMET CITY,-1014697,-56293,2022,-1070990,1,NA,NA,NA,NA,355944152,62795,338106875,338106875,1,31356536,31356536,9.275,NA,31356536,9.275,NA,NA,NA,31359412.66,1,0.034
030190001,CITY OF CALUMET CITY LIBRARY FUND,-87002,-4770,2022,-91772,1,NA,NA,NA,NA,355944152,62795,338106875,338106875,1,1847350,1847350,0.547,NA,1847350,0.547,NA,NA,NA,1849444.61,1,0.05
030190002,CITY OF CALUMET CITY BOND,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190010,CITY OF CALUMET CITY - DEFICIENCY LEVY,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190020,CITY OF CALUMET CITY   RB,-553,-10,2022,-563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190080,CITY OF CALUMET CITY FIRE PENSION ESCROW,-146320,-8953,2022,-155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190085,CITY OF CALUMET CITY POLICE PENSION ESCROW,-188755,-12447,2022,-201202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190100,CITY OF CALUMET CITY SPEC SERV AREA 1998-1,-4721,-2153,2022,-6874,1,NA,NA,NA,NA,46919802,0,41331913,41331913,1,0,0,0,NA,0,0,NA,NA,NA,0,1,Inf
030190101,CITY OF CALUMET CITY SPEC SERV AREA 1998-2,-33076,-3835,2022,-36911,1,NA,NA,NA,NA,46919802,0,41331913,41331913,1,309000,309000,0.748,NA,309000,0.748,NA,NA,NA,309162.71,1,0.119
030190500,TIF CITY OF CALUMET CITY,-99889,0,2022,-99889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190501,TIF CITY OF CALUMET CITY-2,-41154,0,2022,-41154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190502,TIF CITY OF CALUMET CITY-SIBLEY BLVD/EAST,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190503,TIF CITY OF CALUMET CITY-TORRENCE AVENUE,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190504,TIF CITY OF CALUMET CITY-RIVER OAKS/WENTWH,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190506,TIF CITY OF CALUMET CITY-RIVER OAKS MALL,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030190507,TIF CITY OF CALUMET CITY-SIBLEY/TORRENCE/STA,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200000,VILLAGE OF   CALUMET PARK,-146992,0,2022,-146992,1,NA,NA,NA,NA,72384090,203314,69516919,69516919,1,6681313,6681313,9.612,NA,6681313,9.612,NA,NA,NA,6681966.25,1,0.022
030200001,VILLAGE OF CALUMET PARK LIBRARY FUND,-7309,0,2022,-7309,1,NA,NA,NA,NA,72384090,203314,69516919,69516919,1,238841,238841,0.344,NA,238841,0.344,NA,NA,NA,239138.2,1,0.031
030200020,VILLAGE OF CALUMET PARK   RB,-1208,0,2022,-1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200021,VILLAGE OF CALUMET PARK ESCROW ACCOUNT,-24879,0,2022,-24879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200022,VILLAGE OF CALUMET PARK - JAWA BOND ESC ACCT,-36,0,2022,-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200085,VILLAGE OF CALUMET PARK POLICE PENSION,-33640,0,2022,-33640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200090,VILLAGE OF CALUMET PARK-WARRANT ESCROW,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200500,TIF VIL OF CALUMET PARK,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200501,TIF VIL OF CALUMET PARK-2,-40423,0,2022,-40423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200502,TIF VIL OF CALUMET PARK-3,-16274,0,2022,-16274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200503,TIF VIL OF CALUMET PARK-4,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200504,TIF VIL OF CALUMET PARK-5,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030200505,TIF VIL OF CALUMET PARK-6 TRAIN STATION,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210000,CITY OF CHICAGO,-20848139,-862092,2022,-21710231,1,NA,NA,NA,NA,NA,727046294,NA,NA,0.9998999999999999,1577005358,1577005358,1.628,NA,1576847657,1.628,NA,NA,NA,1577388389.22,NA,0.014
030210001,CITY OF CHICAGO LIBRARY FUND,-1547291,-70924,2022,-1618215,1,NA,NA,NA,NA,NA,727046294,NA,NA,0.9998999999999999,128135185,128135185,0.133,NA,128122371,0.133,NA,NA,NA,128865267.67,NA,0.013
030210002,CITY OF CHICAGO SCHOOL BLDG & IMP FUND,-1865417,-81113,2022,-1946530,1,NA,NA,NA,NA,NA,727046294,NA,NA,0.9998999999999999,148229167,148229167,0.153,NA,148214344,0.153,NA,NA,NA,148243503.41,NA,0.013
030210010,2003 ARREARAGE TAX CHGO SSA #8,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210021,CITY OF CHICAGO-CPS BLDG 97A ESCROW ACCOUNT,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210022,CITY OF CHICAGO-CPS BLDG 99A ESCROW ACCOUNT,0,-31,2022,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210023,CITY OF CHICAGO-CPS BLDG 97A ESCROW ACCOUNT,0,-316,2022,-316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210091,CITY OF CHICAGO - TIF RPM1 DISTRIBUTION,-9732,-628,2022,-10360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210100,CITY OF CHICAGO SPEC SERV AREA #1,0,0,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210101,CITY OF CHICAGO SPEC SERV AREA 2,-15255,0,2022,-15255,1,NA,NA,NA,NA,28282420,0,28275629,28275629,1,280000,280000,0.991,NA,280000,0.991,NA,NA,NA,280211.48,1,0.054
030210102,CITY OF CHICAGO SPEC SERV AREA #3,-64114,0,2022,-64114,1,NA,NA,NA,NA,116181948,0,112699459,112699459,1,1088730,1088730,0.966,NA,1088730,0.966,NA,NA,NA,1088676.77,1,0.059
030210103,CITY OF CHICAGO SPEC SERV AREA #4,-1762,0,2022,-1762,1,NA,NA,NA,NA,10718454,0,10677525,10677525,1,85672,85672,0.803,NA,85672,0.803,NA,NA,NA,85740.53,1,0.021
030210104,CITY OF CHICAGO SPEC SERVICE AREA #5,-13070,0,2022,-13070,1,NA,NA,NA,NA,13565208,0,13565208,13565208,1,332966,332966,2.455,NA,332966,2.455,NA,NA,NA,333025.86,1,0.039
030210105,CITY OF CHICAGO SPECIAL SERVICE AREA NO 6,0,0,2022,0,1,NA,NA,NA,NA,76676162,0,75835182,75835182,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
030210106,CITY OF CHICAGO SPECIAL SERVICE AREA 7,-7086,0,2022,-7086,1,NA,NA,NA,NA,16357769,0,16357769,16357769,1,131460,131460,0.804,NA,131460,0.804,NA,NA,NA,131516.46,1,0.054
030210107,CITY OF CHICAGO SPECIAL SERVICE AREA NO. 8,-3801,0,2022,-3801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030210108,CITY OF CHICAGO SPECIAL SERVICE AREA NO. 9,0,0,2022,0,1,NA,NA,NA,NA,164911713,0,164383888,164383888,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
